https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DOGE,Volume USD
1627524000000,2021-07-29 02:00:00,DOGE/USD,0.20341,0.20478,0.20276,0.20349,478684.79899693,97407.5697478853
1627520400000,2021-07-29 01:00:00,DOGE/USD,0.20344,0.20445,0.20208,0.20341,936830.57964131,190560.70820483888
1627516800000,2021-07-29 00:00:00,DOGE/USD,0.20511,0.20651,0.2031,0.20344,262830.47582174,53470.23200117479
1627513200000,2021-07-28 23:00:00,DOGE/USD,0.20459,0.20663,0.20382,0.20511,174241.541973,35738.68267408203
1627509600000,2021-07-28 22:00:00,DOGE/USD,0.20603,0.20682,0.20407,0.20459,215918.13208741,44174.690643763206
1627506000000,2021-07-28 21:00:00,DOGE/USD,0.2057,0.20657,0.205,0.20603,151112.77525679,31133.76508615644
1627502400000,2021-07-28 20:00:00,DOGE/USD,0.20632,0.20686,0.20447,0.2057,598286.574863,123067.54844931909
1627498800000,2021-07-28 19:00:00,DOGE/USD,0.20689,0.20773,0.20511,0.20632,685644.04091558,141462.07852170247
1627495200000,2021-07-28 18:00:00,DOGE/USD,0.2025,0.20706,0.2025,0.20689,24436.576133,5055.683236156369
1627491600000,2021-07-28 17:00:00,DOGE/USD,0.20839,0.20851,0.20218,0.2025,411959.98093151,83421.89613863078
1627488000000,2021-07-28 16:00:00,DOGE/USD,0.20651,0.20858,0.20548,0.20839,515389.18617492,107401.95250699157
1627484400000,2021-07-28 15:00:00,DOGE/USD,0.20557,0.20711,0.20464,0.20651,236577.88589894,48855.6992169901
1627480800000,2021-07-28 14:00:00,DOGE/USD,0.20426,0.20651,0.20366,0.20557,487831.16462001,100283.45251093546
1627477200000,2021-07-28 13:00:00,DOGE/USD,0.2049,0.20617,0.20318,0.20426,305920.909932,62487.40506271031
1627473600000,2021-07-28 12:00:00,DOGE/USD,0.21075,0.21078,0.20466,0.2049,567546.993952,116290.37906076481
1627470000000,2021-07-28 11:00:00,DOGE/USD,0.20948,0.21218,0.20884,0.21075,401227.26142868,84558.6453460943
1627466400000,2021-07-28 10:00:00,DOGE/USD,0.21037,0.21148,0.20882,0.20948,305555.03972804,64007.66972222982
1627462800000,2021-07-28 09:00:00,DOGE/USD,0.20845,0.21037,0.20845,0.21037,150442.13745996,31648.512457451787
1627459200000,2021-07-28 08:00:00,DOGE/USD,0.20846,0.21353,0.20685,0.20845,681241.95487316,142004.8854933102
1627455600000,2021-07-28 07:00:00,DOGE/USD,0.20237,0.20946,0.20237,0.20846,218439.82248357,45535.965394925006
1627452000000,2021-07-28 06:00:00,DOGE/USD,0.20623,0.20685,0.20232,0.20237,291805.46144531,59052.67123268738
1627448400000,2021-07-28 05:00:00,DOGE/USD,0.20505,0.20685,0.2048,0.20623,1197677.2903628,246996.98759152024
1627444800000,2021-07-28 04:00:00,DOGE/USD,0.20601,0.20679,0.20429,0.20505,305568.006785,62656.71979126425
1627441200000,2021-07-28 03:00:00,DOGE/USD,0.20649,0.20762,0.20478,0.20601,809833.74857655,166833.85054425508
1627437600000,2021-07-28 02:00:00,DOGE/USD,0.20742,0.209,0.20614,0.20649,821900.90673698,169714.318232119
