https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume 1INCH,Volume USD
1649174400000,2022-04-05 16:00:00,1INCH/USD,1.8606,1.8783,1.8378,1.8547,1490.199564,2763.8731313508
1649170800000,2022-04-05 15:00:00,1INCH/USD,1.8403,1.867,1.8341,1.8606,4364.798971,8121.144965442601
1649167200000,2022-04-05 14:00:00,1INCH/USD,1.8719,1.874,1.8381,1.8403,5966.648396,10980.4230431588
1649163600000,2022-04-05 13:00:00,1INCH/USD,1.8836,1.8936,1.8614,1.8719,16288.716654,30490.848704622596
1649160000000,2022-04-05 12:00:00,1INCH/USD,1.9225,1.9796,1.87,1.8836,46238.382677,87094.6176103972
1649156400000,2022-04-05 11:00:00,1INCH/USD,1.8909,1.9796,1.8906,1.9225,10582.829973,20345.4906230925
1649152800000,2022-04-05 10:00:00,1INCH/USD,1.8854,1.9013,1.8805,1.8909,5530.022491,10456.719528231899
1649149200000,2022-04-05 09:00:00,1INCH/USD,1.908,1.9107,1.8853,1.8854,1026.173821,1934.7481221134
1649145600000,2022-04-05 08:00:00,1INCH/USD,1.908,1.9129,1.8989,1.908,5721.80302,10917.20016216
1649142000000,2022-04-05 07:00:00,1INCH/USD,1.8949,1.9149,1.8918,1.908,15218.178563,29036.284698204
1649138400000,2022-04-05 06:00:00,1INCH/USD,1.9118,1.9179,1.892,1.8949,729.450636,1382.2360101564
1649134800000,2022-04-05 05:00:00,1INCH/USD,1.9192,1.9192,1.9074,1.9118,475.637888,909.3245142783999
1649131200000,2022-04-05 04:00:00,1INCH/USD,1.9201,1.9228,1.9084,1.9192,187.023871,358.9362132232
1649127600000,2022-04-05 03:00:00,1INCH/USD,1.9113,1.9292,1.9103,1.9201,10593.804494,20341.164008929398
1649124000000,2022-04-05 02:00:00,1INCH/USD,1.9063,1.9305,1.9063,1.9113,431.35537,824.449518681
1649120400000,2022-04-05 01:00:00,1INCH/USD,1.8746,1.9255,1.8718,1.9063,4476.353249,8533.2721985687
1649116800000,2022-04-05 00:00:00,1INCH/USD,1.8996,1.9095,1.8711,1.8746,577.41843,1082.428588878
1649113200000,2022-04-04 23:00:00,1INCH/USD,1.9074,1.9084,1.8921,1.8996,456.911194,867.9485041224
1649109600000,2022-04-04 22:00:00,1INCH/USD,1.8987,1.9126,1.8882,1.9074,3257.766262,6213.8633681388
1649106000000,2022-04-04 21:00:00,1INCH/USD,1.8849,1.9024,1.8819,1.8987,1978.553375,3756.6792931125
1649102400000,2022-04-04 20:00:00,1INCH/USD,1.8641,1.8849,1.8556,1.8849,786.505928,1482.4850236872
1649098800000,2022-04-04 19:00:00,1INCH/USD,1.8305,1.8649,1.8302,1.8641,906.439194,1689.6933015354002
1649095200000,2022-04-04 18:00:00,1INCH/USD,1.8295,1.8335,1.8054,1.8305,2392.329701,4379.1595176805
1649091600000,2022-04-04 17:00:00,1INCH/USD,1.8624,1.8673,1.8073,1.8295,2598.077802,4753.1833387589995
1649088000000,2022-04-04 16:00:00,1INCH/USD,1.8496,1.8752,1.849,1.8624,925.939145,1724.4690636480002
1649084400000,2022-04-04 15:00:00,1INCH/USD,1.9088,1.9088,1.8463,1.8496,4534.922286,8387.792260185599
1649080800000,2022-04-04 14:00:00,1INCH/USD,1.9224,1.9376,1.8986,1.9088,6693.344288,12776.255576934402
1649077200000,2022-04-04 13:00:00,1INCH/USD,1.9121,1.9272,1.8956,1.9224,2203.802961,4236.5908122264
1649073600000,2022-04-04 12:00:00,1INCH/USD,1.9441,1.9536,1.9084,1.9121,5111.042448,9772.8242648208
1649070000000,2022-04-04 11:00:00,1INCH/USD,1.9145,1.948,1.9046,1.9441,785.825615,1527.7235781215
1649066400000,2022-04-04 10:00:00,1INCH/USD,1.9295,1.9406,1.8955,1.9145,1272.032294,2435.305826863
1649062800000,2022-04-04 09:00:00,1INCH/USD,1.9691,1.971,1.9295,1.9295,3467.575736,6690.687382612
1649059200000,2022-04-04 08:00:00,1INCH/USD,1.9824,1.9841,1.9573,1.9691,292.334106,575.6350881246001
1649055600000,2022-04-04 07:00:00,1INCH/USD,1.9864,1.9902,1.9771,1.9824,193.115393,382.8319550832
1649052000000,2022-04-04 06:00:00,1INCH/USD,1.9945,2.0028,1.9747,1.9864,722.769897,1435.7101234008
1649048400000,2022-04-04 05:00:00,1INCH/USD,1.97,2.0034,1.9688,1.9945,1450.848189,2893.7167129605
1649044800000,2022-04-04 04:00:00,1INCH/USD,1.9619,1.9748,1.9539,1.97,951.998162,1875.4363791399999
1649041200000,2022-04-04 03:00:00,1INCH/USD,1.9835,1.9884,1.9618,1.9619,1534.340784,3010.2231841295998
1649037600000,2022-04-04 02:00:00,1INCH/USD,1.9456,1.9837,1.9407,1.9835,979.165493,1942.1747553655
1649034000000,2022-04-04 01:00:00,1INCH/USD,1.9258,1.9495,1.9246,1.9456,723.418218,1407.4824849408
1649030400000,2022-04-04 00:00:00,1INCH/USD,1.9803,1.9803,1.918,1.9258,1537.028034,2960.0085878771997
1649026800000,2022-04-03 23:00:00,1INCH/USD,1.9613,1.9861,1.9502,1.9803,4645.281198,9199.050356399399
1649023200000,2022-04-03 22:00:00,1INCH/USD,1.9731,1.9933,1.9613,1.9613,4606.004977,9033.757561390099
1649019600000,2022-04-03 21:00:00,1INCH/USD,1.9434,1.9731,1.9434,1.9731,609.693057,1202.9853707667
1649016000000,2022-04-03 20:00:00,1INCH/USD,1.9499,1.9615,1.9434,1.9434,1294.269367,2515.2830878278
1649012400000,2022-04-03 19:00:00,1INCH/USD,1.9593,1.9608,1.9458,1.9499,997.051799,1944.1513028701
1649008800000,2022-04-03 18:00:00,1INCH/USD,1.9655,1.9704,1.9458,1.9593,1616.872381,3167.9380560933
1649005200000,2022-04-03 17:00:00,1INCH/USD,1.9704,1.975,1.9536,1.9655,1686.455589,3314.7284601795
1649001600000,2022-04-03 16:00:00,1INCH/USD,1.9748,1.9853,1.9553,1.9704,2728.718974,5376.667866369599
1648998000000,2022-04-03 15:00:00,1INCH/USD,1.975,1.9819,1.9684,1.9748,1496.084431,2954.4675343388003
1648994400000,2022-04-03 14:00:00,1INCH/USD,1.9689,1.975,1.9522,1.975,431.681182,852.57033445
1648990800000,2022-04-03 13:00:00,1INCH/USD,1.975,1.9808,1.9654,1.9689,975.088844,1919.8524249516001
1648987200000,2022-04-03 12:00:00,1INCH/USD,1.9765,1.986,1.9666,1.975,380.14763,750.7915692500001
1648983600000,2022-04-03 11:00:00,1INCH/USD,1.973,1.9819,1.9458,1.9765,1460.772686,2887.217213879
1648980000000,2022-04-03 10:00:00,1INCH/USD,1.98,1.9877,1.9654,1.973,369.415336,728.856457928
1648976400000,2022-04-03 09:00:00,1INCH/USD,1.9912,1.9945,1.9613,1.98,1128.862628,2235.14800344
1648972800000,2022-04-03 08:00:00,1INCH/USD,1.9852,2.0274,1.9824,1.9912,1565.280139,3116.7858127768
1648969200000,2022-04-03 07:00:00,1INCH/USD,1.9959,1.9994,1.974,1.9852,1295.866071,2572.5533241492
1648965600000,2022-04-03 06:00:00,1INCH/USD,1.9747,1.9989,1.9724,1.9959,346.531122,691.6414663997999
1648962000000,2022-04-03 05:00:00,1INCH/USD,1.9724,1.9848,1.9675,1.9747,1195.647609,2361.0453334923
1648958400000,2022-04-03 04:00:00,1INCH/USD,1.945,1.975,1.945,1.9724,1860.751654,3670.1465623495997
1648954800000,2022-04-03 03:00:00,1INCH/USD,1.914,1.9565,1.914,1.945,1946.127151,3785.217308695
1648951200000,2022-04-03 02:00:00,1INCH/USD,1.9038,1.9356,1.9022,1.914,1940.162516,3713.471055624
1648947600000,2022-04-03 01:00:00,1INCH/USD,1.9468,1.948,1.8748,1.9038,2853.626336,5432.7338184768
1648944000000,2022-04-03 00:00:00,1INCH/USD,1.9243,1.9929,1.9242,1.9468,4016.486918,7819.2967319624
1648940400000,2022-04-02 23:00:00,1INCH/USD,1.9474,1.9541,1.9034,1.9243,1369.706784,2635.7267644512
1648936800000,2022-04-02 22:00:00,1INCH/USD,1.9748,1.9748,1.9303,1.9474,3208.518243,6248.2684264182
1648933200000,2022-04-02 21:00:00,1INCH/USD,1.9784,1.9999,1.9509,1.9748,12321.660941,24332.8160262868
1648929600000,2022-04-02 20:00:00,1INCH/USD,1.977,1.996,1.9696,1.9784,3339.957723,6607.7723591832
1648926000000,2022-04-02 19:00:00,1INCH/USD,1.9613,2.0719,1.9582,1.977,6526.914485,12903.709936845002
1648922400000,2022-04-02 18:00:00,1INCH/USD,1.9708,1.978,1.9209,1.9613,3512.601198,6889.2647296374
1648918800000,2022-04-02 17:00:00,1INCH/USD,1.969,1.98,1.9582,1.9708,1939.540867,3822.4471406836
1648915200000,2022-04-02 16:00:00,1INCH/USD,1.9749,2.0577,1.9639,1.969,7243.248683,14261.956656827
1648911600000,2022-04-02 15:00:00,1INCH/USD,1.9654,1.9764,1.9197,1.9749,6033.329603,11915.2226329647
1648908000000,2022-04-02 14:00:00,1INCH/USD,2.0094,2.0127,1.9594,1.9654,3601.083294,7077.5691060276
1648904400000,2022-04-02 13:00:00,1INCH/USD,1.9977,2.0308,1.9967,2.0094,2400.244303,4823.0509024482
1648900800000,2022-04-02 12:00:00,1INCH/USD,2.0162,2.023,1.9848,1.9977,5047.402304,10083.1955827008
1648897200000,2022-04-02 11:00:00,1INCH/USD,2.0453,2.0642,1.9969,2.0162,12029.863357,24254.6105003834
1648893600000,2022-04-02 10:00:00,1INCH/USD,1.9982,2.095,1.9834,2.0453,11699.161316,23928.2946396148
1648890000000,2022-04-02 09:00:00,1INCH/USD,1.9392,1.9999,1.9329,1.9982,1507.491064,3012.2686440848
1648886400000,2022-04-02 08:00:00,1INCH/USD,1.9208,1.9415,1.9089,1.9392,714.437758,1385.4377003136
1648882800000,2022-04-02 07:00:00,1INCH/USD,1.921,1.9243,1.9113,1.9208,2751.532605,5285.143827684
1648879200000,2022-04-02 06:00:00,1INCH/USD,1.9104,1.9233,1.8994,1.921,6079.681344,11679.067861824
1648875600000,2022-04-02 05:00:00,1INCH/USD,1.9133,1.9234,1.9104,1.9104,667.228203,1274.6727590112
1648872000000,2022-04-02 04:00:00,1INCH/USD,1.9284,1.9368,1.9127,1.9133,2540.829167,4861.3684452211
1648868400000,2022-04-02 03:00:00,1INCH/USD,1.9392,1.9445,1.9069,1.9284,3391.849047,6540.8417022348
1648864800000,2022-04-02 02:00:00,1INCH/USD,1.9326,1.9682,1.9206,1.9392,7578.499946,14696.2270952832
1648861200000,2022-04-02 01:00:00,1INCH/USD,1.8931,1.9687,1.8887,1.9326,8537.417708,16499.413462480803
1648857600000,2022-04-02 00:00:00,1INCH/USD,1.8865,1.8931,1.87,1.8931,3571.743887,6761.6683524797
1648854000000,2022-04-01 23:00:00,1INCH/USD,1.8749,1.8913,1.8611,1.8865,5933.788599,11194.0921920135
1648850400000,2022-04-01 22:00:00,1INCH/USD,1.8677,1.886,1.858,1.8749,2903.561719,5443.8878669531
1648846800000,2022-04-01 21:00:00,1INCH/USD,1.8618,1.8734,1.8582,1.8677,2861.214333,5343.890009744099
