https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume APE,Volume USD
1651194000000,2022-04-29 01:00:00,APE/USD,23.272,24.428,22.442,22.49,45555.118554,1024534.6162794599
1651190400000,2022-04-29 00:00:00,APE/USD,23.723,24.437,23.053,23.272,61404.729094,1429010.855475568
1651186800000,2022-04-28 23:00:00,APE/USD,24.844,25.119,23.417,23.723,45061.853388,1069002.347923524
1651183200000,2022-04-28 22:00:00,APE/USD,25.888,26.041,24.608,24.844,80009.323531,1987751.6338041641
1651179600000,2022-04-28 21:00:00,APE/USD,24.1,27.579,23.87,25.888,123874.839408,3206871.842594304
1651176000000,2022-04-28 20:00:00,APE/USD,23.761,24.511,22.868,24.1,43190.286404,1040885.9023364
1651172400000,2022-04-28 19:00:00,APE/USD,22.642,24.229,22.544,23.761,74250.710482,1764271.131762802
1651168800000,2022-04-28 18:00:00,APE/USD,22.332,22.697,21.842,22.642,26886.119829,608755.525168218
1651165200000,2022-04-28 17:00:00,APE/USD,22.271,22.592,22.071,22.332,23027.747902,514255.666147464
1651161600000,2022-04-28 16:00:00,APE/USD,21.483,22.419,21.389,22.271,20904.292308,465559.49399146804
1651158000000,2022-04-28 15:00:00,APE/USD,20.904,21.8,20.904,21.483,45455.799804,976526.9471893321
1651154400000,2022-04-28 14:00:00,APE/USD,20.758,20.926,20.477,20.904,10554.339069,220627.90389837598
1651150800000,2022-04-28 13:00:00,APE/USD,20.772,21.036,20.632,20.758,25728.410214,534070.339222212
1651147200000,2022-04-28 12:00:00,APE/USD,20.265,20.853,20.265,20.772,17737.934157,368452.36830920394
1651143600000,2022-04-28 11:00:00,APE/USD,20.334,20.411,20.215,20.265,1782.13241,36114.91328865
1651140000000,2022-04-28 10:00:00,APE/USD,20.421,20.497,20.188,20.334,5653.736658,114963.08120377199
1651136400000,2022-04-28 09:00:00,APE/USD,20.18,20.46,20.112,20.421,13526.75023,276229.76644683
1651132800000,2022-04-28 08:00:00,APE/USD,19.959,20.267,19.897,20.18,17554.291597,354245.60442746
1651129200000,2022-04-28 07:00:00,APE/USD,20.17,20.238,19.932,19.959,7061.769919,140945.865813321
1651125600000,2022-04-28 06:00:00,APE/USD,19.852,20.308,19.833,20.17,9441.598552,190437.04279384
1651122000000,2022-04-28 05:00:00,APE/USD,19.819,20.013,19.768,19.852,8490.118926,168545.840918952
1651118400000,2022-04-28 04:00:00,APE/USD,19.748,19.904,19.599,19.819,6587.785947,130563.329683593
1651114800000,2022-04-28 03:00:00,APE/USD,19.456,20.202,19.456,19.748,47268.530313,933458.9366211242
1651111200000,2022-04-28 02:00:00,APE/USD,19.17,19.579,19.136,19.456,10130.270529,197094.54341222398
1651107600000,2022-04-28 01:00:00,APE/USD,19.281,19.434,19.16,19.17,5735.545701,109950.41108817
