https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ENS,Volume USD
1647237600000,2022-03-14 06:00:00,ENS/USD,13.122,13.155,13.093,13.155,9.352525,123.032466375
1647234000000,2022-03-14 05:00:00,ENS/USD,13.092,13.215,13.058,13.122,11.529839,151.29454735800002
1647230400000,2022-03-14 04:00:00,ENS/USD,12.806,13.093,12.806,13.092,8.13237,106.46898804
1647226800000,2022-03-14 03:00:00,ENS/USD,12.85,12.85,12.784,12.806,5.99713,76.79924678
1647223200000,2022-03-14 02:00:00,ENS/USD,12.834,12.851,12.77,12.85,100.754768,1294.6987688
1647219600000,2022-03-14 01:00:00,ENS/USD,12.781,12.895,12.781,12.834,7.522738,96.546819492
1647216000000,2022-03-14 00:00:00,ENS/USD,12.712,12.781,12.608,12.781,49.029526,626.646371806
1647212400000,2022-03-13 23:00:00,ENS/USD,12.862,12.885,12.7,12.712,69.187295,879.5088940400001
1647208800000,2022-03-13 22:00:00,ENS/USD,13.525,13.525,12.862,12.862,74.306133,955.725482646
1647205200000,2022-03-13 21:00:00,ENS/USD,13.429,13.525,13.394,13.525,7.138761,96.551742525
1647201600000,2022-03-13 20:00:00,ENS/USD,13.568,13.568,13.429,13.429,2.823627,37.918486983
1647198000000,2022-03-13 19:00:00,ENS/USD,13.592,13.608,13.564,13.568,40.006321,542.805763328
1647194400000,2022-03-13 18:00:00,ENS/USD,13.426,13.602,13.426,13.592,4.884074,66.38433380800001
1647190800000,2022-03-13 17:00:00,ENS/USD,13.604,13.604,13.426,13.426,0.002,0.026852
1647187200000,2022-03-13 16:00:00,ENS/USD,13.573,13.604,13.514,13.604,1.977426,26.900903303999996
1647183600000,2022-03-13 15:00:00,ENS/USD,13.549,13.573,13.527,13.573,0.953982,12.948397686
1647180000000,2022-03-13 14:00:00,ENS/USD,13.484,13.549,13.428,13.549,3.563846,48.286549453999996
1647176400000,2022-03-13 13:00:00,ENS/USD,13.325,13.484,13.283,13.484,17.884033,241.148300972
1647172800000,2022-03-13 12:00:00,ENS/USD,13.468,13.523,13.24,13.325,58.137553,774.6828937249999
1647169200000,2022-03-13 11:00:00,ENS/USD,13.658,13.716,13.467,13.468,27.501266,370.387050488
1647165600000,2022-03-13 10:00:00,ENS/USD,13.82,13.82,13.597,13.658,1.549597,21.164395825999996
1647162000000,2022-03-13 09:00:00,ENS/USD,13.82,13.82,13.82,13.82,0.0,0.0
1647158400000,2022-03-13 08:00:00,ENS/USD,13.82,13.82,13.82,13.82,0.0,0.0
1647154800000,2022-03-13 07:00:00,ENS/USD,13.77,13.82,13.77,13.82,3.456443,47.76804226
1647151200000,2022-03-13 06:00:00,ENS/USD,13.851,13.851,13.77,13.77,17.845002,245.72567754
1647147600000,2022-03-13 05:00:00,ENS/USD,13.895,13.895,13.851,13.851,16.125426,223.35327552600003
1647144000000,2022-03-13 04:00:00,ENS/USD,13.895,13.917,13.895,13.895,10.843857,150.675393015
1647140400000,2022-03-13 03:00:00,ENS/USD,13.91,13.943,13.873,13.895,1.785874,24.814719229999998
1647136800000,2022-03-13 02:00:00,ENS/USD,13.661,13.91,13.661,13.91,4.667802,64.92912582
1647133200000,2022-03-13 01:00:00,ENS/USD,13.55,13.661,13.55,13.661,0.002,0.027322
1647129600000,2022-03-13 00:00:00,ENS/USD,13.591,13.591,13.55,13.55,0.336526,4.5599273
1647126000000,2022-03-12 23:00:00,ENS/USD,13.715,13.715,13.591,13.591,3.267773,44.412302843
1647122400000,2022-03-12 22:00:00,ENS/USD,13.719,13.721,13.714,13.715,5.654323,77.54903994499999
1647118800000,2022-03-12 21:00:00,ENS/USD,13.671,13.719,13.671,13.719,2.678441,36.74553207899999
1647115200000,2022-03-12 20:00:00,ENS/USD,13.802,13.802,13.671,13.671,44.626733,610.092066843
1647111600000,2022-03-12 19:00:00,ENS/USD,13.875,13.875,13.802,13.802,7.345309,101.379954818
1647108000000,2022-03-12 18:00:00,ENS/USD,13.854,13.935,13.831,13.875,27.181078,377.13745725
1647104400000,2022-03-12 17:00:00,ENS/USD,13.943,13.943,13.828,13.854,18.502772,256.33740328799996
1647100800000,2022-03-12 16:00:00,ENS/USD,13.809,13.96,13.809,13.943,146.641895,2044.627941985
1647097200000,2022-03-12 15:00:00,ENS/USD,13.695,13.809,13.695,13.809,3.335453,46.05927047699999
1647093600000,2022-03-12 14:00:00,ENS/USD,13.872,13.872,13.695,13.695,4.969896,68.06272572
1647090000000,2022-03-12 13:00:00,ENS/USD,13.869,13.872,13.869,13.872,0.002,0.027744
