https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTCG,Volume USD
1649584800000,2022-04-10 10:00:00,BTCG/USD,42515.78,42515.78,42400.25,42400.25,0.01189399,504.3081494975
1649581200000,2022-04-10 09:00:00,BTCG/USD,42996.26,42996.26,42515.78,42515.78,0.01989643,845.9122406654
1649577600000,2022-04-10 08:00:00,BTCG/USD,42563.45,42996.26,42563.45,42996.26,0.00010298,4.427754854800001
1649574000000,2022-04-10 07:00:00,BTCG/USD,42563.45,42563.45,42563.45,42563.45,0.0,0.0
1649570400000,2022-04-10 06:00:00,BTCG/USD,42563.45,43010.15,42563.45,42563.45,0.34256312,14580.668229964
1649566800000,2022-04-10 05:00:00,BTCG/USD,42996.26,42996.26,42543.66,42563.45,0.35282088,15017.273884835999
1649563200000,2022-04-10 04:00:00,BTCG/USD,42996.26,42996.26,42675.08,42996.26,0.00584688,251.3939726688
1649559600000,2022-04-10 03:00:00,BTCG/USD,42996.26,42996.26,42706.16,42996.26,0.03267018,1404.6955535268
1649556000000,2022-04-10 02:00:00,BTCG/USD,42882.52,42996.26,42882.52,42996.26,0.54323104,23356.9030359104
1649552400000,2022-04-10 01:00:00,BTCG/USD,42882.52,42882.52,42882.52,42882.52,0.00228577,98.0195777404
1649548800000,2022-04-10 00:00:00,BTCG/USD,42877.35,42882.52,42877.35,42882.52,0.06871044,2946.4768175087997
1649545200000,2022-04-09 23:00:00,BTCG/USD,42633.21,42951.49,42633.21,42877.35,1.0234963,43884.809078804996
1649541600000,2022-04-09 22:00:00,BTCG/USD,42543.67,42633.21,42543.67,42633.21,0.00889379,379.1708167659
1649538000000,2022-04-09 21:00:00,BTCG/USD,42488.15,42543.67,42488.15,42543.67,0.01583323,673.6037121541
1649534400000,2022-04-09 20:00:00,BTCG/USD,42501.27,42521.81,42488.15,42488.15,0.00257437,109.38021871549999
1649530800000,2022-04-09 19:00:00,BTCG/USD,42501.27,42501.27,42501.27,42501.27,0.0,0.0
1649527200000,2022-04-09 18:00:00,BTCG/USD,42617.67,42617.67,42481.07,42501.27,0.03963371,1684.4830098117
1649523600000,2022-04-09 17:00:00,BTCG/USD,42467.18,42617.67,42428.15,42617.67,0.36393449,15510.0399964383
1649520000000,2022-04-09 16:00:00,BTCG/USD,42343.26,42467.18,42311.49,42467.18,0.1184543,5030.420079874
1649516400000,2022-04-09 15:00:00,BTCG/USD,42474.66,42474.66,42343.26,42343.26,0.12033739,5095.477392491401
1649512800000,2022-04-09 14:00:00,BTCG/USD,42484.44,42518.74,42399.73,42474.66,0.02089323,887.4328405518
1649509200000,2022-04-09 13:00:00,BTCG/USD,42437.71,42530.11,42437.71,42484.44,0.341204,14495.860865760002
1649505600000,2022-04-09 12:00:00,BTCG/USD,42429.59,42457.07,42429.59,42437.71,0.02234593,948.3100970203
1649502000000,2022-04-09 11:00:00,BTCG/USD,42451.4,42494.53,42421.79,42429.59,2.42685718,102970.55513595618
1649498400000,2022-04-09 10:00:00,BTCG/USD,42451.4,42451.4,42451.4,42451.4,0.0,0.0
1649494800000,2022-04-09 09:00:00,BTCG/USD,42497.4,42497.4,42451.4,42451.4,0.00231297,98.18881465800001
1649491200000,2022-04-09 08:00:00,BTCG/USD,42441.34,42497.41,42441.34,42497.4,0.0703814,2991.0265083599998
1649487600000,2022-04-09 07:00:00,BTCG/USD,42626.78,42626.78,42441.34,42441.34,0.00043,18.2497762
1649484000000,2022-04-09 06:00:00,BTCG/USD,42626.78,42626.78,42626.78,42626.78,0.0,0.0
1649480400000,2022-04-09 05:00:00,BTCG/USD,42461.44,42626.78,42461.44,42626.78,0.02308707,984.1274537346001
1649476800000,2022-04-09 04:00:00,BTCG/USD,42402.31,42489.59,42402.31,42461.44,0.00058865,24.994926656000004
1649473200000,2022-04-09 03:00:00,BTCG/USD,42232.72,42402.32,42232.72,42402.31,0.46212116,19595.004683879597
1649469600000,2022-04-09 02:00:00,BTCG/USD,42370.67,42445.24,42232.72,42232.72,0.38564003,16286.627407781602
1649466000000,2022-04-09 01:00:00,BTCG/USD,42460.96,42470.67,42370.67,42370.67,0.02258305,956.8589591435
1649462400000,2022-04-09 00:00:00,BTCG/USD,42146.94,42460.96,42146.94,42460.96,0.58809632,24971.1343196672
1649458800000,2022-04-08 23:00:00,BTCG/USD,42476.48,42476.48,42146.93,42146.94,0.17271968,7279.6059897792
1649455200000,2022-04-08 22:00:00,BTCG/USD,42644.02,42649.08,42386.14,42476.48,1.18988098,50541.955649350406
1649451600000,2022-04-08 21:00:00,BTCG/USD,42789.11,42834.71,42644.01,42644.02,0.17072595,7280.440826318999
1649448000000,2022-04-08 20:00:00,BTCG/USD,42839.82,42839.82,42507.0,42789.11,0.01219732,521.9124671852
1649444400000,2022-04-08 19:00:00,BTCG/USD,43281.92,43281.92,42839.82,42839.82,0.05116119,2191.7361705858
1649440800000,2022-04-08 18:00:00,BTCG/USD,42929.85,43281.92,42420.69,43281.92,0.42321737,18317.6603509504
1649437200000,2022-04-08 17:00:00,BTCG/USD,43641.85,43641.85,42854.94,42929.85,0.17007684,7301.373229674
1649433600000,2022-04-08 16:00:00,BTCG/USD,43599.5,43641.85,43599.5,43641.85,0.00397,173.2581445
1649430000000,2022-04-08 15:00:00,BTCG/USD,43700.0,43932.2,43565.18,43599.5,1.05221254,45875.94063773
1649426400000,2022-04-08 14:00:00,BTCG/USD,42996.37,43700.0,42996.37,43700.0,0.17532027,7661.495799
