https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume CUBE,Volume USD
1645675200000,2022-02-24 04:00:00,CUBE/USD,4.815,4.815,4.6088,4.65,4069.838993,18924.75131745
1645671600000,2022-02-24 03:00:00,CUBE/USD,5.1141,5.1232,4.7536,4.815,2879.493318,13864.76032617
1645668000000,2022-02-24 02:00:00,CUBE/USD,5.1276,5.1276,5.1141,5.1141,108.984056,557.3553607895999
1645664400000,2022-02-24 01:00:00,CUBE/USD,5.1624,5.1638,5.1144,5.1276,682.277048,3498.4437913248003
1645660800000,2022-02-24 00:00:00,CUBE/USD,5.2,5.2093,5.1458,5.1624,1376.343477,7105.2355656648
1645657200000,2022-02-23 23:00:00,CUBE/USD,5.2162,5.2167,5.1995,5.2,349.452013,1817.1504676000002
1645653600000,2022-02-23 22:00:00,CUBE/USD,5.2411,5.2411,5.212,5.2162,70.466917,367.56953245539995
1645650000000,2022-02-23 21:00:00,CUBE/USD,5.2825,5.2825,5.2097,5.2411,2084.661848,10925.921211552803
1645646400000,2022-02-23 20:00:00,CUBE/USD,5.3574,5.3623,5.2562,5.2825,968.889171,5118.1570458075
1645642800000,2022-02-23 19:00:00,CUBE/USD,5.418,5.4181,5.3574,5.3574,2187.453105,11719.061264727
1645639200000,2022-02-23 18:00:00,CUBE/USD,5.4724,5.4724,5.415,5.418,3987.033218,21601.745975124002
1645635600000,2022-02-23 17:00:00,CUBE/USD,5.4791,5.497,5.4516,5.4724,743.094489,4066.5102816036
1645632000000,2022-02-23 16:00:00,CUBE/USD,5.4422,5.4791,5.422,5.4791,668.333984,3661.8687317343997
1645628400000,2022-02-23 15:00:00,CUBE/USD,5.4274,5.4658,5.3941,5.4422,1472.294861,8012.5230925342
1645624800000,2022-02-23 14:00:00,CUBE/USD,5.3848,5.432,5.3621,5.4274,1054.83276,5724.999321624
1645621200000,2022-02-23 13:00:00,CUBE/USD,5.3783,5.391,5.3731,5.3848,121.316721,653.2662792408
1645617600000,2022-02-23 12:00:00,CUBE/USD,5.3504,5.4057,5.3275,5.3783,1044.648703,5618.434119344901
1645614000000,2022-02-23 11:00:00,CUBE/USD,5.3517,5.3784,5.3399,5.3504,230.741033,1234.5568229632
1645610400000,2022-02-23 10:00:00,CUBE/USD,5.3833,5.3943,5.3223,5.3517,788.727489,4221.0329028813
1645606800000,2022-02-23 09:00:00,CUBE/USD,5.383,5.3833,5.3762,5.3833,116.473684,627.0127830772001
1645603200000,2022-02-23 08:00:00,CUBE/USD,5.3755,5.3833,5.3636,5.383,142.857037,768.999430171
1645599600000,2022-02-23 07:00:00,CUBE/USD,5.353,5.3827,5.3462,5.3755,442.865496,2380.623473748
1645596000000,2022-02-23 06:00:00,CUBE/USD,5.3347,5.3653,5.3312,5.353,618.577578,3311.245775034
1645592400000,2022-02-23 05:00:00,CUBE/USD,5.3328,5.3483,5.3327,5.3347,403.232138,2151.1224865886
1645588800000,2022-02-23 04:00:00,CUBE/USD,5.3225,5.3358,5.3132,5.3328,229.165915,1222.095991512
1645585200000,2022-02-23 03:00:00,CUBE/USD,5.3056,5.3225,5.3017,5.3225,303.462892,1615.18124267
1645581600000,2022-02-23 02:00:00,CUBE/USD,5.2896,5.3278,5.2896,5.3056,1296.102434,6876.601073830399
1645578000000,2022-02-23 01:00:00,CUBE/USD,5.2975,5.3038,5.2623,5.2896,1728.31165,9142.07730384
1645574400000,2022-02-23 00:00:00,CUBE/USD,5.2836,5.3127,5.2782,5.2975,1500.951345,7951.2897501375
1645570800000,2022-02-22 23:00:00,CUBE/USD,5.2446,5.2851,5.2404,5.2836,1393.161517,7360.9081912212
1645567200000,2022-02-22 22:00:00,CUBE/USD,5.2289,5.2634,5.2156,5.2446,554.945034,2910.4647253164
1645563600000,2022-02-22 21:00:00,CUBE/USD,5.0195,5.2293,5.0195,5.2289,1837.533399,9608.2783900311
1645560000000,2022-02-22 20:00:00,CUBE/USD,5.0092,5.0294,4.981,5.0195,673.03164,3378.28231698
1645556400000,2022-02-22 19:00:00,CUBE/USD,4.9933,5.0219,4.9737,5.0092,2733.121044,13690.7499336048
1645552800000,2022-02-22 18:00:00,CUBE/USD,4.96,5.0069,4.9599,4.9933,1156.509499,5774.7988813567
1645549200000,2022-02-22 17:00:00,CUBE/USD,5.0094,5.0139,4.96,4.96,3619.847432,17954.44326272
1645545600000,2022-02-22 16:00:00,CUBE/USD,4.9753,5.015,4.9753,5.0094,1021.90169,5119.114325886
1645542000000,2022-02-22 15:00:00,CUBE/USD,4.8558,4.9786,4.8395,4.9753,1986.774559,9884.7994633927
1645538400000,2022-02-22 14:00:00,CUBE/USD,4.7736,4.8814,4.7704,4.8558,3252.300125,15792.518946975002
1645534800000,2022-02-22 13:00:00,CUBE/USD,4.7225,4.7918,4.7159,4.7736,4957.955288,23667.2953627968
1645531200000,2022-02-22 12:00:00,CUBE/USD,4.7078,4.7351,4.7078,4.7225,1609.08412,7598.899756700001
1645527600000,2022-02-22 11:00:00,CUBE/USD,4.7151,4.7351,4.7064,4.7078,2476.323691,11658.0366724898
1645524000000,2022-02-22 10:00:00,CUBE/USD,4.7032,4.7252,4.6962,4.7151,318.613595,1502.2949617844997
1645520400000,2022-02-22 09:00:00,CUBE/USD,4.7032,4.715,4.7008,4.7032,370.598062,1742.9968051984001
1645516800000,2022-02-22 08:00:00,CUBE/USD,4.7217,4.7302,4.7017,4.7032,914.114971,4299.2655316072
1645513200000,2022-02-22 07:00:00,CUBE/USD,4.7526,4.7727,4.698,4.7217,1393.113776,6577.8653161392
1645509600000,2022-02-22 06:00:00,CUBE/USD,4.7571,4.7997,4.75,4.7526,2946.474127,14003.412935980201
1645506000000,2022-02-22 05:00:00,CUBE/USD,4.7658,4.7813,4.7502,4.7571,971.250593,4620.3361959603
1645502400000,2022-02-22 04:00:00,CUBE/USD,4.836,4.867,4.75,4.7658,5625.250222,26808.817508007596
1645498800000,2022-02-22 03:00:00,CUBE/USD,4.971,4.9728,4.8339,4.836,3147.068401,15219.222787236002
1645495200000,2022-02-22 02:00:00,CUBE/USD,4.9897,5.0072,4.9578,4.971,1444.107799,7178.6598688290005
1645491600000,2022-02-22 01:00:00,CUBE/USD,5.0157,5.0157,4.9785,4.9897,1320.379208,6588.2961341576
1645488000000,2022-02-22 00:00:00,CUBE/USD,5.0724,5.0767,5.0109,5.0157,1252.28488,6281.085272615999
1645484400000,2022-02-21 23:00:00,CUBE/USD,5.2989,5.3176,5.05,5.0724,4012.165081,20351.3061568644
