https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DPI,Volume USD
1647950400000,2022-03-22 12:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647946800000,2022-03-22 11:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647943200000,2022-03-22 10:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647939600000,2022-03-22 09:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647936000000,2022-03-22 08:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647932400000,2022-03-22 07:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647928800000,2022-03-22 06:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647925200000,2022-03-22 05:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647921600000,2022-03-22 04:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647918000000,2022-03-22 03:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647914400000,2022-03-22 02:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647910800000,2022-03-22 01:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647907200000,2022-03-22 00:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647903600000,2022-03-21 23:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647900000000,2022-03-21 22:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647896400000,2022-03-21 21:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647892800000,2022-03-21 20:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647889200000,2022-03-21 19:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647885600000,2022-03-21 18:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647882000000,2022-03-21 17:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647878400000,2022-03-21 16:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647874800000,2022-03-21 15:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647871200000,2022-03-21 14:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647867600000,2022-03-21 13:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647864000000,2022-03-21 12:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647860400000,2022-03-21 11:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647856800000,2022-03-21 10:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647853200000,2022-03-21 09:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647849600000,2022-03-21 08:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647846000000,2022-03-21 07:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647842400000,2022-03-21 06:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647838800000,2022-03-21 05:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647835200000,2022-03-21 04:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647831600000,2022-03-21 03:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647828000000,2022-03-21 02:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647824400000,2022-03-21 01:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647820800000,2022-03-21 00:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647817200000,2022-03-20 23:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647813600000,2022-03-20 22:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647810000000,2022-03-20 21:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647806400000,2022-03-20 20:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647802800000,2022-03-20 19:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647799200000,2022-03-20 18:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647795600000,2022-03-20 17:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647792000000,2022-03-20 16:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647788400000,2022-03-20 15:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647784800000,2022-03-20 14:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647781200000,2022-03-20 13:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647777600000,2022-03-20 12:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647774000000,2022-03-20 11:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647770400000,2022-03-20 10:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647766800000,2022-03-20 09:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647763200000,2022-03-20 08:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647759600000,2022-03-20 07:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647756000000,2022-03-20 06:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647752400000,2022-03-20 05:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647748800000,2022-03-20 04:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647745200000,2022-03-20 03:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647741600000,2022-03-20 02:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647738000000,2022-03-20 01:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647734400000,2022-03-20 00:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647730800000,2022-03-19 23:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647727200000,2022-03-19 22:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647723600000,2022-03-19 21:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647720000000,2022-03-19 20:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647716400000,2022-03-19 19:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647712800000,2022-03-19 18:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647709200000,2022-03-19 17:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647705600000,2022-03-19 16:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647702000000,2022-03-19 15:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647698400000,2022-03-19 14:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647694800000,2022-03-19 13:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647691200000,2022-03-19 12:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647687600000,2022-03-19 11:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647684000000,2022-03-19 10:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647680400000,2022-03-19 09:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647676800000,2022-03-19 08:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647673200000,2022-03-19 07:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647669600000,2022-03-19 06:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647666000000,2022-03-19 05:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647662400000,2022-03-19 04:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647658800000,2022-03-19 03:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647655200000,2022-03-19 02:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647651600000,2022-03-19 01:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647648000000,2022-03-19 00:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647644400000,2022-03-18 23:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647640800000,2022-03-18 22:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647637200000,2022-03-18 21:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647633600000,2022-03-18 20:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647630000000,2022-03-18 19:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647626400000,2022-03-18 18:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647622800000,2022-03-18 17:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647619200000,2022-03-18 16:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647615600000,2022-03-18 15:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
