https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MPL,Volume USD
1648483200000,2022-03-28 16:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648479600000,2022-03-28 15:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648476000000,2022-03-28 14:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648472400000,2022-03-28 13:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648468800000,2022-03-28 12:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648465200000,2022-03-28 11:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648461600000,2022-03-28 10:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648458000000,2022-03-28 09:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648454400000,2022-03-28 08:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648450800000,2022-03-28 07:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648447200000,2022-03-28 06:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648443600000,2022-03-28 05:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648440000000,2022-03-28 04:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648436400000,2022-03-28 03:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648432800000,2022-03-28 02:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648429200000,2022-03-28 01:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648425600000,2022-03-28 00:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648422000000,2022-03-27 23:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648418400000,2022-03-27 22:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648414800000,2022-03-27 21:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648411200000,2022-03-27 20:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648407600000,2022-03-27 19:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648404000000,2022-03-27 18:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648400400000,2022-03-27 17:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648396800000,2022-03-27 16:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648393200000,2022-03-27 15:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648389600000,2022-03-27 14:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648386000000,2022-03-27 13:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648382400000,2022-03-27 12:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648378800000,2022-03-27 11:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648375200000,2022-03-27 10:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648371600000,2022-03-27 09:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648368000000,2022-03-27 08:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648364400000,2022-03-27 07:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648360800000,2022-03-27 06:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648357200000,2022-03-27 05:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648353600000,2022-03-27 04:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648350000000,2022-03-27 03:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648346400000,2022-03-27 02:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648342800000,2022-03-27 01:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648339200000,2022-03-27 00:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648335600000,2022-03-26 23:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648332000000,2022-03-26 22:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648328400000,2022-03-26 21:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648324800000,2022-03-26 20:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648321200000,2022-03-26 19:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648317600000,2022-03-26 18:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648314000000,2022-03-26 17:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648310400000,2022-03-26 16:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648306800000,2022-03-26 15:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648303200000,2022-03-26 14:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648299600000,2022-03-26 13:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648296000000,2022-03-26 12:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648292400000,2022-03-26 11:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648288800000,2022-03-26 10:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648285200000,2022-03-26 09:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648281600000,2022-03-26 08:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648278000000,2022-03-26 07:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648274400000,2022-03-26 06:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648270800000,2022-03-26 05:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648267200000,2022-03-26 04:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648263600000,2022-03-26 03:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648260000000,2022-03-26 02:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648256400000,2022-03-26 01:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648252800000,2022-03-26 00:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648249200000,2022-03-25 23:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648245600000,2022-03-25 22:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648242000000,2022-03-25 21:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648238400000,2022-03-25 20:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648234800000,2022-03-25 19:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648231200000,2022-03-25 18:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648227600000,2022-03-25 17:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648224000000,2022-03-25 16:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648220400000,2022-03-25 15:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648216800000,2022-03-25 14:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648213200000,2022-03-25 13:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648209600000,2022-03-25 12:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648206000000,2022-03-25 11:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648202400000,2022-03-25 10:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648198800000,2022-03-25 09:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648195200000,2022-03-25 08:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648191600000,2022-03-25 07:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648188000000,2022-03-25 06:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648184400000,2022-03-25 05:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648180800000,2022-03-25 04:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648177200000,2022-03-25 03:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648173600000,2022-03-25 02:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648170000000,2022-03-25 01:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648166400000,2022-03-25 00:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648162800000,2022-03-24 23:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648159200000,2022-03-24 22:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648155600000,2022-03-24 21:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648152000000,2022-03-24 20:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648148400000,2022-03-24 19:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648144800000,2022-03-24 18:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648141200000,2022-03-24 17:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648137600000,2022-03-24 16:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648134000000,2022-03-24 15:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648130400000,2022-03-24 14:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648126800000,2022-03-24 13:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648123200000,2022-03-24 12:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648119600000,2022-03-24 11:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648116000000,2022-03-24 10:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648112400000,2022-03-24 09:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648108800000,2022-03-24 08:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648105200000,2022-03-24 07:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648101600000,2022-03-24 06:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648098000000,2022-03-24 05:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648094400000,2022-03-24 04:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648090800000,2022-03-24 03:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648087200000,2022-03-24 02:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648083600000,2022-03-24 01:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648080000000,2022-03-24 00:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648076400000,2022-03-23 23:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648072800000,2022-03-23 22:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648069200000,2022-03-23 21:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648065600000,2022-03-23 20:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648062000000,2022-03-23 19:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648058400000,2022-03-23 18:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648054800000,2022-03-23 17:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648051200000,2022-03-23 16:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648047600000,2022-03-23 15:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648044000000,2022-03-23 14:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
