unix,date,symbol,open,high,low,close,Volume XRP,Volume USD,just_date
1651574820,2022-05-03 10:47:00,XRP/USD,0.61724,0.61727,0.61724,0.61727,18791.89777338,11599.674738574273,2022-05-03
1651574760,2022-05-03 10:46:00,XRP/USD,0.61738,0.61738,0.61738,0.61738,49.39827982,30.497509995271603,2022-05-03
1651574700,2022-05-03 10:45:00,XRP/USD,0.61723,0.61737,0.61711,0.61737,37263.65061048,23005.459977392034,2022-05-03
1651574640,2022-05-03 10:44:00,XRP/USD,0.61803,0.61803,0.61791,0.61791,24174.69939956,14937.788505982118,2022-05-03
1651574580,2022-05-03 10:43:00,XRP/USD,0.61804,0.61804,0.61777,0.61777,8185.37132,5056.6768403564,2022-05-03
1651574520,2022-05-03 10:42:00,XRP/USD,0.61663,0.61729,0.61663,0.61695,11907.53438932,7346.353341490974,2022-05-03
1651574460,2022-05-03 10:41:00,XRP/USD,0.61674,0.61762,0.6167,0.61735,152440.44372543,94109.1079338942,2022-05-03
1651574400,2022-05-03 10:40:00,XRP/USD,0.61463,0.6171,0.61463,0.61664,397634.74902842,245197.4916408849,2022-05-03
1651574340,2022-05-03 10:39:00,XRP/USD,0.61448,0.61463,0.61425,0.61463,39363.3572965,24193.9002951478,2022-05-03
1651574280,2022-05-03 10:38:00,XRP/USD,0.61457,0.61459,0.61432,0.61459,49414.0056174,30369.353712397864,2022-05-03
1651574220,2022-05-03 10:37:00,XRP/USD,0.61463,0.61467,0.61437,0.61457,58859.9264897,36173.54502277493,2022-05-03
1651574160,2022-05-03 10:36:00,XRP/USD,0.61423,0.61475,0.61408,0.61475,192525.88889177,118355.29019621562,2022-05-03
1651574100,2022-05-03 10:35:00,XRP/USD,0.61412,0.61426,0.61397,0.61403,30572.90926851,18772.683478143197,2022-05-03
1651574040,2022-05-03 10:34:00,XRP/USD,0.61356,0.61412,0.61354,0.61412,4566.05159013,2804.1036025306357,2022-05-03
1651573980,2022-05-03 10:33:00,XRP/USD,0.61402,0.61418,0.61369,0.61418,41085.22397999,25233.722864030256,2022-05-03
1651573920,2022-05-03 10:32:00,XRP/USD,0.6142,0.6142,0.61405,0.61409,35598.38812306,21860.61416248992,2022-05-03
1651573860,2022-05-03 10:31:00,XRP/USD,0.61441,0.61441,0.61424,0.61424,1508.92025959,926.8391802505616,2022-05-03
1651573800,2022-05-03 10:30:00,XRP/USD,0.61456,0.61456,0.61442,0.61442,97045.74374196,59626.84586993506,2022-05-03
1651573740,2022-05-03 10:29:00,XRP/USD,0.61443,0.61447,0.61439,0.61439,17454.32655141,10723.763689920788,2022-05-03
1651573680,2022-05-03 10:28:00,XRP/USD,0.61471,0.61489,0.6147,0.61481,127595.9347058,78447.25661647289,2022-05-03
1651573620,2022-05-03 10:27:00,XRP/USD,0.61421,0.61462,0.61417,0.61461,57602.3140481,35402.95823710274,2022-05-03
1651573560,2022-05-03 10:26:00,XRP/USD,0.61517,0.61553,0.61424,0.61454,99564.04439483,61186.087842398825,2022-05-03
1651573500,2022-05-03 10:25:00,XRP/USD,0.61488,0.61547,0.61488,0.61527,24200.42530972,14889.795680311425,2022-05-03
1651573440,2022-05-03 10:24:00,XRP/USD,0.61552,0.61552,0.615,0.61507,53824.98600044,33106.13413929063,2022-05-03
1651573380,2022-05-03 10:23:00,XRP/USD,0.61593,0.61593,0.61559,0.61559,30314.24712483,18661.1473875741,2022-05-03
1651573320,2022-05-03 10:22:00,XRP/USD,0.61556,0.61584,0.61556,0.61574,19049.72101133,11729.675215516332,2022-05-03
1651573260,2022-05-03 10:21:00,XRP/USD,0.61551,0.61551,0.61551,0.61551,0.0,0.0,2022-05-03
1651573200,2022-05-03 10:20:00,XRP/USD,0.61551,0.61551,0.61551,0.61551,0.0,0.0,2022-05-03
1651573140,2022-05-03 10:19:00,XRP/USD,0.61576,0.61576,0.61551,0.61551,31644.51270668,19477.514016088608,2022-05-03
1651573080,2022-05-03 10:18:00,XRP/USD,0.61536,0.61572,0.61536,0.61561,19161.71529777,11796.143554460188,2022-05-03
1651573020,2022-05-03 10:17:00,XRP/USD,0.61495,0.61548,0.61495,0.61548,99840.58200311,61449.88141127415,2022-05-03
1651572960,2022-05-03 10:16:00,XRP/USD,0.61483,0.61495,0.61461,0.61495,68822.0356525,42322.11082450488,2022-05-03
1651572900,2022-05-03 10:15:00,XRP/USD,0.61482,0.61495,0.61482,0.61483,129503.89477291,79622.87962322826,2022-05-03
1651572840,2022-05-03 10:14:00,XRP/USD,0.61446,0.61479,0.61446,0.61479,16152.32943961,9930.29061617783,2022-05-03
1651572780,2022-05-03 10:13:00,XRP/USD,0.61441,0.61443,0.61429,0.61443,36245.70708042,22270.44980142246,2022-05-03
1651572720,2022-05-03 10:12:00,XRP/USD,0.61444,0.61444,0.61444,0.61444,3377.38440436,2075.2000734149583,2022-05-03
1651572660,2022-05-03 10:11:00,XRP/USD,0.61448,0.61448,0.61404,0.6144,99643.13107609,61220.73973314969,2022-05-03
1651572600,2022-05-03 10:10:00,XRP/USD,0.61478,0.6152,0.61468,0.61468,72144.51368797,44345.7896737214,2022-05-03
1651572540,2022-05-03 10:09:00,XRP/USD,0.61434,0.61482,0.61434,0.61479,23254.75256056,14296.78932670668,2022-05-03
1651572480,2022-05-03 10:08:00,XRP/USD,0.61491,0.61536,0.61491,0.61494,83521.10390547,51360.46763562972,2022-05-03
1651572420,2022-05-03 10:07:00,XRP/USD,0.6147,0.6151,0.6147,0.6151,25518.07909743,15696.170452829192,2022-05-03
1651572360,2022-05-03 10:06:00,XRP/USD,0.61518,0.61529,0.61514,0.61529,37836.8120472,23280.61208452169,2022-05-03
1651572300,2022-05-03 10:05:00,XRP/USD,0.61578,0.61578,0.61563,0.61564,27418.02095317,16879.630419609577,2022-05-03
1651572240,2022-05-03 10:04:00,XRP/USD,0.61588,0.61588,0.61588,0.61588,0.0,0.0,2022-05-03
1651572180,2022-05-03 10:03:00,XRP/USD,0.61583,0.61621,0.61583,0.61588,44723.95046711,27544.586613683707,2022-05-03
1651572120,2022-05-03 10:02:00,XRP/USD,0.61613,0.61613,0.61569,0.61579,9721.33642361,5986.301756294802,2022-05-03
1651572060,2022-05-03 10:01:00,XRP/USD,0.61588,0.6161,0.61562,0.6161,30093.08524075,18540.349816826078,2022-05-03
1651572000,2022-05-03 10:00:00,XRP/USD,0.61591,0.6163,0.61582,0.61595,35615.75744188,21937.525796325983,2022-05-03
1651571940,2022-05-03 09:59:00,XRP/USD,0.61585,0.61585,0.61585,0.61585,8113.04483,4996.4186585555,2022-05-03
1651571880,2022-05-03 09:58:00,XRP/USD,0.61562,0.61625,0.61562,0.6159,32675.95425,20125.120222575,2022-05-03
1651571820,2022-05-03 09:57:00,XRP/USD,0.61602,0.61604,0.61575,0.61575,10731.35305525,6607.830643770188,2022-05-03
1651571760,2022-05-03 09:56:00,XRP/USD,0.61614,0.61616,0.61614,0.61616,6584.65331408,4057.199986003533,2022-05-03
1651571700,2022-05-03 09:55:00,XRP/USD,0.61681,0.61681,0.61623,0.61623,33745.10378298,20794.74530418577,2022-05-03
1651571640,2022-05-03 09:54:00,XRP/USD,0.61694,0.61696,0.6169,0.6169,9059.15719111,5588.594071195759,2022-05-03
1651571580,2022-05-03 09:53:00,XRP/USD,0.61691,0.61691,0.61691,0.61691,5629.84665433,3473.10869952272,2022-05-03
1651571520,2022-05-03 09:52:00,XRP/USD,0.61668,0.61703,0.61668,0.61699,48938.93639199,30194.834364493912,2022-05-03
1651571460,2022-05-03 09:51:00,XRP/USD,0.61675,0.61675,0.61652,0.61672,2646.21893305,1631.976140390596,2022-05-03
