unix,date,symbol,open,high,low,close,Volume LTC,Volume USD,just_date
1651446900,2022-05-01 23:15:00,LTC/USD,98.62,98.62,98.62,98.62,0.0,0.0,2022-05-01
1651446840,2022-05-01 23:14:00,LTC/USD,98.62,98.62,98.62,98.62,0.0,0.0,2022-05-01
1651446780,2022-05-01 23:13:00,LTC/USD,98.62,98.62,98.62,98.62,0.0,0.0,2022-05-01
1651446720,2022-05-01 23:12:00,LTC/USD,98.62,98.62,98.62,98.62,0.0,0.0,2022-05-01
1651446660,2022-05-01 23:11:00,LTC/USD,98.62,98.62,98.62,98.62,0.0,0.0,2022-05-01
1651446600,2022-05-01 23:10:00,LTC/USD,98.62,98.62,98.62,98.62,0.0,0.0,2022-05-01
1651446540,2022-05-01 23:09:00,LTC/USD,98.62,98.62,98.62,98.62,0.0,0.0,2022-05-01
1651446480,2022-05-01 23:08:00,LTC/USD,98.62,98.62,98.62,98.62,0.0,0.0,2022-05-01
1651446420,2022-05-01 23:07:00,LTC/USD,98.62,98.62,98.62,98.62,0.0,0.0,2022-05-01
1651446360,2022-05-01 23:06:00,LTC/USD,98.62,98.62,98.62,98.62,0.0,0.0,2022-05-01
1651446300,2022-05-01 23:05:00,LTC/USD,98.62,98.62,98.62,98.62,0.0,0.0,2022-05-01
1651446240,2022-05-01 23:04:00,LTC/USD,98.62,98.62,98.62,98.62,0.0,0.0,2022-05-01
1651446180,2022-05-01 23:03:00,LTC/USD,98.62,98.62,98.62,98.62,0.0,0.0,2022-05-01
1651446120,2022-05-01 23:02:00,LTC/USD,98.62,98.62,98.62,98.62,0.0,0.0,2022-05-01
1651446060,2022-05-01 23:01:00,LTC/USD,98.62,98.62,98.62,98.62,0.0,0.0,2022-05-01
1651446000,2022-05-01 23:00:00,LTC/USD,98.62,98.62,98.62,98.62,0.0,0.0,2022-05-01
1651445940,2022-05-01 22:59:00,LTC/USD,98.62,98.62,98.62,98.62,0.0,0.0,2022-05-01
