unix,date,symbol,open,high,low,close,Volume ETH,Volume USD,just_date
1651564200,2022-05-03 07:50:00,ETH/USD,2836.3,2836.84,2836.3,2836.84,2.22222812,6304.1056199408,2022-05-03
1651564140,2022-05-03 07:49:00,ETH/USD,2836.62,2836.62,2835.66,2835.66,0.17882703,507.0926558898,2022-05-03
1651564080,2022-05-03 07:48:00,ETH/USD,2835.49,2835.49,2835.49,2835.49,0.02178106,61.7599778194,2022-05-03
1651564020,2022-05-03 07:47:00,ETH/USD,2838.53,2838.53,2835.61,2835.61,2.02027141,5728.7018129101,2022-05-03
1651563960,2022-05-03 07:46:00,ETH/USD,2838.67,2838.67,2838.67,2838.67,0.0,0.0,2022-05-03
1651563900,2022-05-03 07:45:00,ETH/USD,2840.21,2840.21,2838.67,2838.67,4.46156422,12664.9085043874,2022-05-03
1651563840,2022-05-03 07:44:00,ETH/USD,2840.4,2840.4,2840.32,2840.32,0.95978391,2726.0934352512,2022-05-03
1651563780,2022-05-03 07:43:00,ETH/USD,2842.01,2842.01,2840.32,2840.32,0.08636355,245.300118336,2022-05-03
1651563720,2022-05-03 07:42:00,ETH/USD,2842.72,2843.76,2842.72,2843.76,0.11999508,341.2372087008,2022-05-03
1651563660,2022-05-03 07:41:00,ETH/USD,2843.9,2843.9,2842.01,2842.01,0.07608475,216.2336203475,2022-05-03
1651563600,2022-05-03 07:40:00,ETH/USD,2843.99,2843.99,2843.99,2843.99,0.0493,140.20870699999998,2022-05-03
1651563540,2022-05-03 07:39:00,ETH/USD,2844.54,2844.54,2844.54,2844.54,0.07598767,216.1499668218,2022-05-03
1651563480,2022-05-03 07:38:00,ETH/USD,2845.86,2845.86,2845.63,2845.63,0.26845442,763.9219511846001,2022-05-03
1651563420,2022-05-03 07:37:00,ETH/USD,2846.38,2846.61,2845.33,2845.59,0.32344932,920.4041504988,2022-05-03
1651563360,2022-05-03 07:36:00,ETH/USD,2847.11,2847.42,2847.11,2847.42,1.15979242,3302.4161325564,2022-05-03
1651563300,2022-05-03 07:35:00,ETH/USD,2845.64,2845.64,2843.87,2843.87,0.04755986,135.2540590582,2022-05-03
1651563240,2022-05-03 07:34:00,ETH/USD,2840.94,2845.11,2840.94,2845.11,0.16773648,477.2287366128,2022-05-03
1651563180,2022-05-03 07:33:00,ETH/USD,2840.25,2840.73,2840.25,2840.73,0.03503141,99.5147773293,2022-05-03
1651563120,2022-05-03 07:32:00,ETH/USD,2839.57,2839.57,2836.87,2838.31,0.65958474,1872.1059633894,2022-05-03
1651563060,2022-05-03 07:31:00,ETH/USD,2839.6,2840.18,2839.15,2839.15,0.14219115,403.7020035225,2022-05-03
1651563000,2022-05-03 07:30:00,ETH/USD,2841.89,2841.89,2840.91,2840.91,0.14436528,410.1287676048,2022-05-03
1651562940,2022-05-03 07:29:00,ETH/USD,2842.65,2842.65,2842.65,2842.65,0.1719,488.651535,2022-05-03
1651562880,2022-05-03 07:28:00,ETH/USD,2842.72,2843.05,2842.72,2843.05,0.5574,1584.7160700000002,2022-05-03
1651562820,2022-05-03 07:27:00,ETH/USD,2842.28,2842.28,2842.14,2842.22,0.10273251,291.9883945722,2022-05-03
1651562760,2022-05-03 07:26:00,ETH/USD,2842.52,2842.52,2841.56,2842.03,7.3963,21020.506489000003,2022-05-03
1651562700,2022-05-03 07:25:00,ETH/USD,2841.77,2842.8,2841.77,2842.8,0.371299,1055.5287972,2022-05-03
1651562640,2022-05-03 07:24:00,ETH/USD,2841.97,2842.08,2841.95,2841.95,0.1218,346.14951,2022-05-03
1651562580,2022-05-03 07:23:00,ETH/USD,2842.92,2842.92,2842.92,2842.92,0.0213,60.554196,2022-05-03
1651562520,2022-05-03 07:22:00,ETH/USD,2840.28,2841.48,2840.28,2841.48,3.18881366,9060.9502386168,2022-05-03
1651562460,2022-05-03 07:21:00,ETH/USD,2840.24,2840.87,2840.24,2840.28,0.4496,1276.989888,2022-05-03
1651562400,2022-05-03 07:20:00,ETH/USD,2839.72,2840.94,2839.72,2840.31,0.1116,316.978596,2022-05-03
1651562340,2022-05-03 07:19:00,ETH/USD,2840.24,2840.24,2840.24,2840.24,0.41831634,1188.1188015215998,2022-05-03
1651562280,2022-05-03 07:18:00,ETH/USD,2840.6,2840.6,2840.6,2840.6,0.0202,57.38012,2022-05-03
1651562220,2022-05-03 07:17:00,ETH/USD,2840.47,2840.47,2840.47,2840.47,0.08298977,235.7299519919,2022-05-03
1651562160,2022-05-03 07:16:00,ETH/USD,2840.67,2841.09,2840.67,2841.09,0.26612147,756.0750472023001,2022-05-03
1651562100,2022-05-03 07:15:00,ETH/USD,2841.38,2841.6,2841.25,2841.6,0.12866055,365.60181888,2022-05-03
1651562040,2022-05-03 07:14:00,ETH/USD,2839.53,2839.53,2839.53,2839.53,0.04194772,119.11180937160002,2022-05-03
1651561980,2022-05-03 07:13:00,ETH/USD,2837.78,2839.53,2837.78,2839.53,0.06355333,180.4615871349,2022-05-03
1651561920,2022-05-03 07:12:00,ETH/USD,2836.77,2837.62,2836.77,2837.62,0.0418926,118.875279612,2022-05-03
1651561860,2022-05-03 07:11:00,ETH/USD,2837.62,2837.62,2836.55,2836.55,0.0947,268.62128500000006,2022-05-03
1651561800,2022-05-03 07:10:00,ETH/USD,2838.5,2838.5,2838.21,2838.22,0.3609743,1024.524477746,2022-05-03
1651561740,2022-05-03 07:09:00,ETH/USD,2839.4,2839.45,2838.15,2839.45,4.0784,11580.41288,2022-05-03
1651561680,2022-05-03 07:08:00,ETH/USD,2839.19,2839.19,2839.19,2839.19,0.03589194,101.9040371286,2022-05-03
1651561620,2022-05-03 07:07:00,ETH/USD,2834.78,2834.78,2834.77,2834.77,3.337,9459.62749,2022-05-03
1651561560,2022-05-03 07:06:00,ETH/USD,2835.4,2837.13,2834.75,2834.75,2.32230907,6583.165636182501,2022-05-03
1651561500,2022-05-03 07:05:00,ETH/USD,2836.39,2836.39,2835.24,2835.36,0.14097218,399.7068802848,2022-05-03
1651561440,2022-05-03 07:04:00,ETH/USD,2836.7,2836.7,2836.69,2836.69,0.4147,1176.3753430000002,2022-05-03
1651561380,2022-05-03 07:03:00,ETH/USD,2836.51,2837.25,2835.78,2836.51,3.31399705,9400.1857722955,2022-05-03
1651561320,2022-05-03 07:02:00,ETH/USD,2835.87,2836.98,2835.87,2836.98,0.2367,671.513166,2022-05-03
1651561260,2022-05-03 07:01:00,ETH/USD,2837.31,2837.31,2835.14,2836.27,18.72241668,53101.8287569836,2022-05-03
1651561200,2022-05-03 07:00:00,ETH/USD,2839.85,2840.86,2838.53,2838.93,28.82736709,81838.87725281369,2022-05-03
1651561140,2022-05-03 06:59:00,ETH/USD,2839.24,2839.85,2839.24,2839.85,2.30262093,6539.098048060499,2022-05-03
1651561080,2022-05-03 06:58:00,ETH/USD,2837.96,2837.96,2837.96,2837.96,0.0878,249.172888,2022-05-03
1651561020,2022-05-03 06:57:00,ETH/USD,2838.81,2838.81,2838.81,2838.81,0.06044639,171.59581639590002,2022-05-03
1651560960,2022-05-03 06:56:00,ETH/USD,2839.39,2839.39,2839.39,2839.39,0.0,0.0,2022-05-03
1651560900,2022-05-03 06:55:00,ETH/USD,2839.39,2839.39,2839.39,2839.39,0.0156,44.294484,2022-05-03
1651560840,2022-05-03 06:54:00,ETH/USD,2839.35,2840.02,2838.38,2840.02,0.16187125,459.717587425,2022-05-03
1651560780,2022-05-03 06:53:00,ETH/USD,2840.22,2840.22,2838.08,2838.08,0.824,2338.57792,2022-05-03
1651560720,2022-05-03 06:52:00,ETH/USD,2840.0,2840.0,2839.11,2839.11,2.636,7483.89396,2022-05-03
1651560660,2022-05-03 06:51:00,ETH/USD,2840.8,2840.8,2840.21,2840.21,0.11443259,325.01258644390003,2022-05-03
1651560600,2022-05-03 06:50:00,ETH/USD,2842.02,2842.02,2841.94,2841.94,0.0527,149.770238,2022-05-03
1651560540,2022-05-03 06:49:00,ETH/USD,2841.07,2843.35,2841.07,2843.35,0.08706153,247.5464013255,2022-05-03
1651560480,2022-05-03 06:48:00,ETH/USD,2840.23,2840.23,2840.23,2840.23,3.2011835,9092.097412205,2022-05-03
1651560420,2022-05-03 06:47:00,ETH/USD,2842.34,2842.86,2842.22,2842.69,0.19594266,557.0042401554,2022-05-03
1651560360,2022-05-03 06:46:00,ETH/USD,2844.79,2844.79,2843.87,2843.87,6.0738134,17273.135713858,2022-05-03
1651560300,2022-05-03 06:45:00,ETH/USD,2843.9,2844.85,2843.9,2844.85,1.3785289,3921.707941165,2022-05-03
1651560240,2022-05-03 06:44:00,ETH/USD,2843.94,2844.82,2843.08,2844.82,0.60000262,1706.8994534284002,2022-05-03
1651560180,2022-05-03 06:43:00,ETH/USD,2844.85,2844.85,2844.85,2844.85,0.0,0.0,2022-05-03
1651560120,2022-05-03 06:42:00,ETH/USD,2846.87,2846.98,2844.85,2844.85,0.18769701,533.9698388985,2022-05-03
1651560060,2022-05-03 06:41:00,ETH/USD,2846.74,2846.99,2845.81,2846.99,0.49332481,1404.4908008219,2022-05-03
1651560000,2022-05-03 06:40:00,ETH/USD,2846.81,2847.2,2846.74,2846.74,0.7483,2130.215542,2022-05-03
1651559940,2022-05-03 06:39:00,ETH/USD,2846.58,2846.58,2846.58,2846.58,0.0,0.0,2022-05-03
1651559880,2022-05-03 06:38:00,ETH/USD,2845.56,2846.99,2845.56,2846.58,1.99415242,5676.5143957236,2022-05-03
1651559820,2022-05-03 06:37:00,ETH/USD,2847.05,2847.42,2845.45,2845.56,3.03666531,8641.0133395236,2022-05-03
1651559760,2022-05-03 06:36:00,ETH/USD,2846.71,2847.16,2846.71,2847.16,0.6479,1844.674964,2022-05-03
1651559700,2022-05-03 06:35:00,ETH/USD,2846.71,2846.71,2846.71,2846.71,0.0129,36.722559,2022-05-03
1651559640,2022-05-03 06:34:00,ETH/USD,2845.99,2846.25,2845.99,2846.25,0.642,1827.2925,2022-05-03
1651559580,2022-05-03 06:33:00,ETH/USD,2846.06,2846.46,2846.06,2846.46,0.1426,405.9051960000001,2022-05-03
1651559520,2022-05-03 06:32:00,ETH/USD,2845.59,2845.59,2845.59,2845.59,0.037,105.28683,2022-05-03
1651559460,2022-05-03 06:31:00,ETH/USD,2844.06,2845.99,2843.74,2845.99,10.24396321,29154.2168560279,2022-05-03
1651559400,2022-05-03 06:30:00,ETH/USD,2845.37,2845.92,2845.37,2845.92,0.1312,373.38470400000006,2022-05-03
1651559340,2022-05-03 06:29:00,ETH/USD,2844.75,2845.37,2844.75,2845.37,0.10180148,289.6628771476,2022-05-03
1651559280,2022-05-03 06:28:00,ETH/USD,2844.72,2844.81,2844.72,2844.75,0.0809,230.140275,2022-05-03
1651559220,2022-05-03 06:27:00,ETH/USD,2843.16,2843.89,2843.16,2843.89,0.0516,146.744724,2022-05-03
1651559160,2022-05-03 06:26:00,ETH/USD,2843.79,2843.79,2843.79,2843.79,0.10725825,305.0199387675,2022-05-03
1651559100,2022-05-03 06:25:00,ETH/USD,2844.99,2846.15,2844.99,2846.15,0.0983,279.776545,2022-05-03
1651559040,2022-05-03 06:24:00,ETH/USD,2845.5,2845.5,2845.43,2845.43,3.27467657,9317.8629525751,2022-05-03
1651558980,2022-05-03 06:23:00,ETH/USD,2840.75,2841.71,2840.75,2841.71,0.04020174,114.2416865754,2022-05-03
1651558920,2022-05-03 06:22:00,ETH/USD,2840.09,2840.46,2840.09,2840.46,0.13180461,374.3857225206,2022-05-03
1651558860,2022-05-03 06:21:00,ETH/USD,2839.69,2839.89,2839.69,2839.89,0.07090696,201.3679666344,2022-05-03
1651558800,2022-05-03 06:20:00,ETH/USD,2842.71,2842.71,2842.71,2842.71,0.033,93.80943,2022-05-03
1651558740,2022-05-03 06:19:00,ETH/USD,2839.66,2841.66,2839.66,2841.33,0.1947,553.206951,2022-05-03
1651558680,2022-05-03 06:18:00,ETH/USD,2841.74,2846.26,2841.66,2841.66,5.49883215,15625.811367369,2022-05-03
1651558620,2022-05-03 06:17:00,ETH/USD,2837.98,2840.93,2837.98,2840.93,0.5282,1500.5792259999998,2022-05-03
1651558560,2022-05-03 06:16:00,ETH/USD,2837.69,2837.69,2837.69,2837.69,0.04216966,119.6644224854,2022-05-03
1651558500,2022-05-03 06:15:00,ETH/USD,2839.46,2839.46,2837.21,2837.21,4.82342071,13685.0574726191,2022-05-03
1651558440,2022-05-03 06:14:00,ETH/USD,2840.77,2840.77,2838.56,2838.67,2.13589618,6063.1044092806005,2022-05-03
1651558380,2022-05-03 06:13:00,ETH/USD,2841.81,2842.07,2839.88,2839.88,2.85973343,8121.2997731884,2022-05-03
1651558320,2022-05-03 06:12:00,ETH/USD,2841.4,2842.59,2841.4,2841.81,0.17,483.1077,2022-05-03
1651558260,2022-05-03 06:11:00,ETH/USD,2840.39,2841.04,2840.39,2841.04,0.76767414,2180.9929387056,2022-05-03
1651558200,2022-05-03 06:10:00,ETH/USD,2843.19,2843.19,2841.85,2842.12,0.1797874,510.977365288,2022-05-03
1651558140,2022-05-03 06:09:00,ETH/USD,2842.91,2843.19,2842.91,2843.19,0.1008,286.593552,2022-05-03
1651558080,2022-05-03 06:08:00,ETH/USD,2842.28,2842.63,2842.28,2842.28,0.09224307,262.1806329996,2022-05-03
1651558020,2022-05-03 06:07:00,ETH/USD,2842.27,2842.27,2842.27,2842.27,0.0688,195.548176,2022-05-03
1651557960,2022-05-03 06:06:00,ETH/USD,2843.76,2843.87,2841.88,2841.88,5.27900278,15002.2924204264,2022-05-03
1651557900,2022-05-03 06:05:00,ETH/USD,2845.58,2845.58,2845.58,2845.58,0.0171,48.659418,2022-05-03
1651557840,2022-05-03 06:04:00,ETH/USD,2844.03,2845.69,2844.03,2845.69,0.10111713,287.7480056697,2022-05-03
1651557780,2022-05-03 06:03:00,ETH/USD,2842.31,2843.38,2842.31,2843.38,3.0481462,8667.037942156001,2022-05-03
1651557720,2022-05-03 06:02:00,ETH/USD,2842.29,2843.57,2841.63,2843.57,1.70708478,4854.2150678646,2022-05-03
1651557660,2022-05-03 06:01:00,ETH/USD,2844.6,2844.6,2842.27,2842.42,0.23102735,656.676760187,2022-05-03
1651557600,2022-05-03 06:00:00,ETH/USD,2845.4,2845.4,2844.36,2844.74,1.04913596,2984.5190308504,2022-05-03
1651557540,2022-05-03 05:59:00,ETH/USD,2844.22,2844.65,2844.22,2844.65,0.1248,355.01232,2022-05-03
1651557480,2022-05-03 05:58:00,ETH/USD,2845.72,2845.72,2844.4,2845.03,0.24559388,698.7219564164,2022-05-03
1651557420,2022-05-03 05:57:00,ETH/USD,2845.91,2846.01,2845.91,2846.01,0.0617,175.598817,2022-05-03
1651557360,2022-05-03 05:56:00,ETH/USD,2846.15,2846.15,2845.91,2845.91,0.1142,325.002922,2022-05-03
1651557300,2022-05-03 05:55:00,ETH/USD,2845.58,2845.58,2844.73,2844.73,0.24546387,698.2784349051,2022-05-03
1651557240,2022-05-03 05:54:00,ETH/USD,2844.41,2844.41,2842.41,2844.41,1.96421605,5587.0357747805,2022-05-03
1651557180,2022-05-03 05:53:00,ETH/USD,2843.99,2844.45,2843.44,2843.6,6.97164909,19824.581352324,2022-05-03
1651557120,2022-05-03 05:52:00,ETH/USD,2842.55,2842.89,2842.55,2842.89,4.39670289,12499.3426789521,2022-05-03
1651557060,2022-05-03 05:51:00,ETH/USD,2842.2,2843.76,2842.2,2842.34,0.3215,913.81231,2022-05-03
1651557000,2022-05-03 05:50:00,ETH/USD,2839.24,2843.06,2839.24,2843.06,0.1403,398.881318,2022-05-03
1651556940,2022-05-03 05:49:00,ETH/USD,2838.31,2839.24,2838.31,2839.24,0.15945217,452.7229791508,2022-05-03
