unix,date,symbol,open,high,low,close,Volume BTC,Volume USD,just_date
1651258680,2022-04-29 18:58:00,BTC/USD,38479.81,38535.59,38477.74,38529.03,0.73507672,28321.7929971816,2022-04-29
1651258620,2022-04-29 18:57:00,BTC/USD,38440.79,38541.4,38440.79,38541.4,0.04655467,1794.282158338,2022-04-29
1651258560,2022-04-29 18:56:00,BTC/USD,38412.11,38434.49,38395.18,38424.42,0.11311,4346.1861462,2022-04-29
1651258500,2022-04-29 18:55:00,BTC/USD,38397.51,38412.11,38391.22,38399.21,0.28317,10873.5042957,2022-04-29
1651258440,2022-04-29 18:54:00,BTC/USD,38396.51,38412.81,38390.32,38412.11,0.28942,11117.2328762,2022-04-29
1651258380,2022-04-29 18:53:00,BTC/USD,38442.79,38447.53,38398.57,38398.57,0.42997,16510.2331429,2022-04-29
1651258320,2022-04-29 18:52:00,BTC/USD,38388.05,38467.03,38384.58,38462.96,0.22314825,8582.942213819999,2022-04-29
1651258260,2022-04-29 18:51:00,BTC/USD,38387.41,38411.32,38387.41,38403.78,0.28362,10892.0800836,2022-04-29
1651258200,2022-04-29 18:50:00,BTC/USD,38398.26,38423.97,38394.94,38400.18,3.04287878,116847.0928701804,2022-04-29
1651258140,2022-04-29 18:49:00,BTC/USD,38396.66,38435.23,38388.3,38388.3,0.04270624,1639.4199529920002,2022-04-29
1651258080,2022-04-29 18:48:00,BTC/USD,38421.15,38421.15,38362.13,38381.23,0.0744644,2858.035263212,2022-04-29
1651258020,2022-04-29 18:47:00,BTC/USD,38474.28,38474.28,38333.0,38393.59,13.38982873,514083.5944298406,2022-04-29
1651257960,2022-04-29 18:46:00,BTC/USD,38490.9,38515.58,38453.06,38453.06,0.05787489,2225.4666176634,2022-04-29
1651257900,2022-04-29 18:45:00,BTC/USD,38466.86,38496.89,38451.05,38477.84,0.06756382,2599.7098557488,2022-04-29
1651257840,2022-04-29 18:44:00,BTC/USD,38485.07,38487.27,38467.0,38484.32,0.42665,16419.335128,2022-04-29
1651257780,2022-04-29 18:43:00,BTC/USD,38487.3,38505.59,38462.33,38485.56,0.23129507,8901.520294189198,2022-04-29
1651257720,2022-04-29 18:42:00,BTC/USD,38512.91,38516.75,38480.9,38509.63,0.44259195,17044.0522354785,2022-04-29
1651257660,2022-04-29 18:41:00,BTC/USD,38545.04,38566.52,38530.59,38540.91,0.0575114,2216.541691374,2022-04-29
1651257600,2022-04-29 18:40:00,BTC/USD,38533.19,38573.02,38531.99,38540.39,0.88323302,34040.1450516778,2022-04-29
1651257540,2022-04-29 18:39:00,BTC/USD,38561.43,38561.43,38524.34,38530.69,0.2821,10869.507649,2022-04-29
1651257480,2022-04-29 18:38:00,BTC/USD,38570.13,38587.32,38562.58,38582.08,0.4485,17304.06288,2022-04-29
1651257420,2022-04-29 18:37:00,BTC/USD,38608.39,38614.64,38576.38,38589.12,0.47527255,18340.349464656003,2022-04-29
1651257360,2022-04-29 18:36:00,BTC/USD,38649.59,38649.59,38608.39,38628.38,0.08999333,3476.2965487054,2022-04-29
1651257300,2022-04-29 18:35:00,BTC/USD,38647.23,38659.37,38625.2,38640.82,0.55989177,21634.6771040514,2022-04-29
1651257240,2022-04-29 18:34:00,BTC/USD,38634.18,38648.81,38603.6,38633.67,0.08053216,3111.2528938272,2022-04-29
1651257180,2022-04-29 18:33:00,BTC/USD,38649.55,38649.55,38615.17,38618.27,0.05641,2178.4566107,2022-04-29
1651257120,2022-04-29 18:32:00,BTC/USD,38606.44,38649.3,38584.68,38649.3,0.895873,34624.864338900006,2022-04-29
1651257060,2022-04-29 18:31:00,BTC/USD,38633.9,38633.9,38576.1,38605.85,1.79392,69255.806432,2022-04-29
1651257000,2022-04-29 18:30:00,BTC/USD,38606.67,38644.8,38598.58,38644.8,0.20961319,8100.459804912,2022-04-29
1651256940,2022-04-29 18:29:00,BTC/USD,38604.97,38632.49,38583.99,38619.6,5.18186875,200121.6983775,2022-04-29
1651256880,2022-04-29 18:28:00,BTC/USD,38595.73,38614.41,38584.08,38608.97,1.92313963,74250.44028048111,2022-04-29
1651256820,2022-04-29 18:27:00,BTC/USD,38619.87,38619.87,38575.94,38586.68,0.08153923,3146.3281754564,2022-04-29
1651256760,2022-04-29 18:26:00,BTC/USD,38519.25,38634.08,38519.25,38619.14,12.85208794,496336.5834471716,2022-04-29
1651256700,2022-04-29 18:25:00,BTC/USD,38521.77,38553.11,38516.19,38517.8,0.19375886,7463.165017708001,2022-04-29
1651256640,2022-04-29 18:24:00,BTC/USD,38524.01,38536.83,38497.58,38521.77,0.11198954,4314.0353022858,2022-04-29
1651256580,2022-04-29 18:23:00,BTC/USD,38484.55,38525.21,38484.55,38507.59,0.0477,1836.812043,2022-04-29
1651256520,2022-04-29 18:22:00,BTC/USD,38510.81,38530.26,38482.53,38492.29,0.5537996,21317.014805084,2022-04-29
1651256460,2022-04-29 18:21:00,BTC/USD,38552.75,38552.75,38493.82,38516.84,0.9146301,35228.661220883994,2022-04-29
1651256400,2022-04-29 18:20:00,BTC/USD,38560.44,38566.08,38519.52,38543.33,0.30106846,11604.1810063718,2022-04-29
1651256340,2022-04-29 18:19:00,BTC/USD,38574.0,38587.12,38547.32,38572.67,1.7309,66765.434503,2022-04-29
1651256280,2022-04-29 18:18:00,BTC/USD,38564.18,38586.14,38548.91,38572.08,1.4573238,56212.010199504,2022-04-29
1651256220,2022-04-29 18:17:00,BTC/USD,38631.66,38650.83,38554.12,38565.18,0.24751582,9545.4921511476,2022-04-29
1651256160,2022-04-29 18:16:00,BTC/USD,38558.58,38661.56,38558.58,38650.33,0.22605991,8737.2901212703,2022-04-29
1651256100,2022-04-29 18:15:00,BTC/USD,38608.23,38621.34,38543.74,38573.4,0.12555401,4843.045049334,2022-04-29
1651256040,2022-04-29 18:14:00,BTC/USD,38553.9,38595.5,38553.9,38588.02,0.10220362,3943.8353326324,2022-04-29
1651255980,2022-04-29 18:13:00,BTC/USD,38567.38,38600.21,38538.44,38553.9,0.11939589,4603.177203471,2022-04-29
1651255920,2022-04-29 18:12:00,BTC/USD,38565.48,38584.39,38544.84,38569.76,0.11953198,4610.3197809248,2022-04-29
1651255860,2022-04-29 18:11:00,BTC/USD,38561.01,38607.92,38561.01,38582.42,1.39112647,53673.025738657394,2022-04-29
1651255800,2022-04-29 18:10:00,BTC/USD,38581.39,38586.64,38541.99,38566.48,0.26502598,10221.1191571504,2022-04-29
1651255740,2022-04-29 18:09:00,BTC/USD,38583.18,38612.18,38570.76,38575.08,0.06772119,2612.3503219452,2022-04-29
1651255680,2022-04-29 18:08:00,BTC/USD,38611.55,38626.76,38577.19,38577.19,1.08931565,42022.73680002351,2022-04-29
1651255620,2022-04-29 18:07:00,BTC/USD,38608.34,38632.58,38589.27,38601.67,0.1662649,6418.102802383,2022-04-29
1651255560,2022-04-29 18:06:00,BTC/USD,38644.33,38667.58,38608.34,38608.34,0.97079301,37480.70659970339,2022-04-29
1651255500,2022-04-29 18:05:00,BTC/USD,38634.47,38667.58,38631.68,38639.78,0.35547588,13735.5097985064,2022-04-29
1651255440,2022-04-29 18:04:00,BTC/USD,38643.68,38648.04,38618.06,38634.47,0.53318562,20599.3438403214,2022-04-29
