unix,date,symbol,open,high,low,close,Volume CTX,Volume USD
1651561200000,2022-05-03 07:00:00,CTX/USD,5.1411,5.1411,5.1144,5.1144,24.982093,127.7684164392
1651557600000,2022-05-03 06:00:00,CTX/USD,5.159,5.159,5.1411,5.1411,0.253514,1.3033408254
1651554000000,2022-05-03 05:00:00,CTX/USD,5.1567,5.1596,5.1456,5.159,0.102017,0.526305703
1651550400000,2022-05-03 04:00:00,CTX/USD,5.1567,5.1567,5.1335,5.1567,0.211266,1.0894353822
1651546800000,2022-05-03 03:00:00,CTX/USD,5.1548,5.1957,5.1548,5.1567,0.065427,0.3373874108999999
1651543200000,2022-05-03 02:00:00,CTX/USD,5.1537,5.1548,5.1508,5.1548,23.859357,122.9902134636
1651539600000,2022-05-03 01:00:00,CTX/USD,5.1272,5.1592,5.1236,5.1537,123.318344,635.5457494727999
1651536000000,2022-05-03 00:00:00,CTX/USD,5.1874,5.1874,5.1272,5.1272,24.470401,125.4646400072
1651532400000,2022-05-02 23:00:00,CTX/USD,5.1712,5.1874,5.155,5.1874,95.550347,495.6578700278
1651528800000,2022-05-02 22:00:00,CTX/USD,5.1356,5.1712,5.1356,5.1712,10.520036,54.40121016319999
1651525200000,2022-05-02 21:00:00,CTX/USD,5.158,5.1625,5.1247,5.1356,48.558811,249.3786297716
1651521600000,2022-05-02 20:00:00,CTX/USD,5.1483,5.158,5.1428,5.158,0.261646,1.349570068
1651518000000,2022-05-02 19:00:00,CTX/USD,5.1219,5.1599,5.1219,5.1483,39.169942,201.6586123986
1651514400000,2022-05-02 18:00:00,CTX/USD,5.1144,5.1569,5.1144,5.1219,12.23681,62.675717139
1651510800000,2022-05-02 17:00:00,CTX/USD,5.1237,5.1896,5.114,5.1144,164.281497,840.2012882568
1651507200000,2022-05-02 16:00:00,CTX/USD,5.1568,5.1585,5.1237,5.1237,19.993817,102.4423201629
1651503600000,2022-05-02 15:00:00,CTX/USD,5.1237,5.1586,5.1237,5.1568,13.594554,70.1043960672
1651500000000,2022-05-02 14:00:00,CTX/USD,5.1607,5.1607,5.1237,5.1237,47.181695,241.7448506715
1651496400000,2022-05-02 13:00:00,CTX/USD,5.1572,5.1607,5.1278,5.1607,1.004211,5.1824317077
1651492800000,2022-05-02 12:00:00,CTX/USD,5.1314,5.1572,5.1235,5.1572,0.152251,0.7851888571999999
1651489200000,2022-05-02 11:00:00,CTX/USD,5.1293,5.1327,5.1293,5.1314,0.605886,3.1090434204000004
1651485600000,2022-05-02 10:00:00,CTX/USD,5.1271,5.1309,5.1271,5.1293,0.251132,1.2881313676
1651482000000,2022-05-02 09:00:00,CTX/USD,5.1278,5.1317,5.1271,5.1271,0.370082,1.8974474222
1651478400000,2022-05-02 08:00:00,CTX/USD,5.1434,5.1434,5.1278,5.1278,0.256136,1.3134141807999995
1651474800000,2022-05-02 07:00:00,CTX/USD,5.1593,5.1593,5.1278,5.1434,0.090687,0.4664395158
1651471200000,2022-05-02 06:00:00,CTX/USD,5.1517,5.1593,5.1505,5.1593,73.580808,379.6254627144
1651467600000,2022-05-02 05:00:00,CTX/USD,5.21,5.2186,5.08,5.1517,2060.527127,10615.2176001659
1651464000000,2022-05-02 04:00:00,CTX/USD,5.2243,5.2243,5.21,5.21,45.551799,237.32487279
1651460400000,2022-05-02 03:00:00,CTX/USD,5.2101,5.2243,5.2101,5.2243,8.391722,43.8408732446
1651456800000,2022-05-02 02:00:00,CTX/USD,5.2191,5.2191,5.21,5.2101,3.58853,18.696600153
1651453200000,2022-05-02 01:00:00,CTX/USD,5.2268,5.2268,5.21,5.2191,76.4269,398.87963379
1651449600000,2022-05-02 00:00:00,CTX/USD,5.3044,5.3044,5.1486,5.2268,1014.352842,5301.8194345656
1651446000000,2022-05-01 23:00:00,CTX/USD,4.9144,5.3968,4.9144,5.3044,2639.07809,13998.725820596
1651442400000,2022-05-01 22:00:00,CTX/USD,4.8821,4.9354,4.8811,4.9144,26.700633,131.2175908152
1651438800000,2022-05-01 21:00:00,CTX/USD,4.9119,4.9145,4.8696,4.8821,190.058638,927.8852765798
1651435200000,2022-05-01 20:00:00,CTX/USD,4.8686,4.912,4.8391,4.9119,50.705904,249.0623298576
1651431600000,2022-05-01 19:00:00,CTX/USD,4.8604,4.8686,4.8341,4.8686,30.205076,147.0564330136
1651428000000,2022-05-01 18:00:00,CTX/USD,4.8494,4.8604,4.8319,4.8604,11.223473,54.550568169200005
1651424400000,2022-05-01 17:00:00,CTX/USD,4.7502,4.8793,4.7277,4.8494,2788.985608,13524.9068074352
1651420800000,2022-05-01 16:00:00,CTX/USD,4.7353,4.7569,4.7109,4.7502,202.499695,961.914051189
1651417200000,2022-05-01 15:00:00,CTX/USD,4.6585,4.7496,4.6585,4.7353,15.867034,75.1351661002
1651413600000,2022-05-01 14:00:00,CTX/USD,4.6255,4.7712,4.5693,4.6585,8926.476616,41583.991315636
1651410000000,2022-05-01 13:00:00,CTX/USD,4.9812,4.9812,4.2609,4.6255,16346.153597,75609.13346292349
1651406400000,2022-05-01 12:00:00,CTX/USD,4.9944,4.9944,4.9503,4.9812,59.610795,296.93329205400005
1651402800000,2022-05-01 11:00:00,CTX/USD,4.9827,4.9944,4.9587,4.9944,97.907415,488.988793476
1651399200000,2022-05-01 10:00:00,CTX/USD,5.0112,5.0112,4.9739,4.9827,163.565887,814.9997451549001
1651395600000,2022-05-01 09:00:00,CTX/USD,4.9698,5.0112,4.9698,5.0112,0.400975,2.00936592
1651392000000,2022-05-01 08:00:00,CTX/USD,4.956,5.0108,4.956,4.9698,196.018998,974.1752162604
1651388400000,2022-05-01 07:00:00,CTX/USD,4.9859,4.9859,4.956,4.956,7.146008,35.415615648000006
1651384800000,2022-05-01 06:00:00,CTX/USD,4.975,4.9859,4.9623,4.9859,2.189519,10.9167227821
1651381200000,2022-05-01 05:00:00,CTX/USD,4.9767,4.9767,4.9398,4.975,71.366872,355.0501882
1651377600000,2022-05-01 04:00:00,CTX/USD,4.9225,4.9966,4.8751,4.9767,2645.35752,13165.150769784
1651374000000,2022-05-01 03:00:00,CTX/USD,4.9465,4.9465,4.8902,4.9225,585.313875,2881.2075496875004
1651370400000,2022-05-01 02:00:00,CTX/USD,4.9211,4.955,4.9211,4.9465,143.516951,709.9065981215001
1651366800000,2022-05-01 01:00:00,CTX/USD,4.9869,4.9869,4.921,4.9211,128.388697,631.8136168067
1651363200000,2022-05-01 00:00:00,CTX/USD,5.0001,5.0001,4.966,4.9869,77.670707,387.3360487383
1651359600000,2022-04-30 23:00:00,CTX/USD,5.034,5.034,4.9909,5.0001,29.677427,148.3901027427
1651356000000,2022-04-30 22:00:00,CTX/USD,5.0198,5.0508,5.0009,5.034,47.438242,238.804110228
1651352400000,2022-04-30 21:00:00,CTX/USD,5.0584,5.0596,5.0198,5.0198,8.227336,41.2995812528
1651348800000,2022-04-30 20:00:00,CTX/USD,5.0167,5.0584,5.0167,5.0584,0.235626,1.1918905584
1651345200000,2022-04-30 19:00:00,CTX/USD,5.0628,5.0727,5.0147,5.0167,468.049285,2348.0628480595
1651341600000,2022-04-30 18:00:00,CTX/USD,5.04,5.114,5.04,5.0628,2.451602,12.4119706056
1651338000000,2022-04-30 17:00:00,CTX/USD,5.0214,5.04,5.0032,5.04,1.146084,5.776263360000001
1651334400000,2022-04-30 16:00:00,CTX/USD,4.964,5.0481,4.9608,5.0214,648.748411,3257.6252709954
1651330800000,2022-04-30 15:00:00,CTX/USD,4.97,4.9788,4.931,4.964,239.067021,1186.728692244
1651327200000,2022-04-30 14:00:00,CTX/USD,5.1589,5.1835,4.97,4.97,75.932915,377.38658755
1651323600000,2022-04-30 13:00:00,CTX/USD,5.1705,5.1706,5.1371,5.1589,113.894074,587.5681383586
1651320000000,2022-04-30 12:00:00,CTX/USD,5.1747,5.1747,5.1371,5.1705,0.423483,2.1896188515
1651316400000,2022-04-30 11:00:00,CTX/USD,5.1742,5.1747,5.1641,5.1747,0.223832,1.1582634504
1651312800000,2022-04-30 10:00:00,CTX/USD,5.1916,5.1916,5.1478,5.1742,0.153106,0.7922010652
1651309200000,2022-04-30 09:00:00,CTX/USD,5.1562,5.1916,5.1562,5.1916,0.175749,0.9124185084
1651305600000,2022-04-30 08:00:00,CTX/USD,5.1813,5.1813,5.1562,5.1562,0.396004,2.0418758248
1651302000000,2022-04-30 07:00:00,CTX/USD,5.1942,5.1942,5.1772,5.1813,0.15362,0.7959513060000001
1651298400000,2022-04-30 06:00:00,CTX/USD,5.1943,5.1943,5.1571,5.1942,14.020203,72.8237384226
1651294800000,2022-04-30 05:00:00,CTX/USD,5.1953,5.1968,5.1839,5.1943,2.638981,13.7076590083
1651291200000,2022-04-30 04:00:00,CTX/USD,5.2109,5.2109,5.1631,5.1953,4.672548,24.2752886244
1651287600000,2022-04-30 03:00:00,CTX/USD,5.1439,5.2251,5.1222,5.2109,1923.216308,10021.6878593572
1651284000000,2022-04-30 02:00:00,CTX/USD,5.1718,5.1718,5.1324,5.1439,380.431089,1956.8994787071
1651280400000,2022-04-30 01:00:00,CTX/USD,5.1755,5.1755,5.1592,5.1718,0.338865,1.7525420070000002
1651276800000,2022-04-30 00:00:00,CTX/USD,5.1725,5.1755,5.1428,5.1755,11.137413,57.64168098150001
1651273200000,2022-04-29 23:00:00,CTX/USD,5.1909,5.2036,5.1725,5.1725,21.129199,109.2907818275
1651269600000,2022-04-29 22:00:00,CTX/USD,5.2548,5.2548,5.1642,5.1909,329.435188,1710.0651173892
1651266000000,2022-04-29 21:00:00,CTX/USD,5.7148,5.7148,5.0174,5.2548,3578.941755,18806.623134174
1651262400000,2022-04-29 20:00:00,CTX/USD,5.4605,5.8781,5.4007,5.7148,729.719978,4170.2037302744
1651258800000,2022-04-29 19:00:00,CTX/USD,5.2407,5.5184,5.2407,5.4605,5075.180886,27713.025228003
1651255200000,2022-04-29 18:00:00,CTX/USD,5.243,5.2723,5.2407,5.2407,13.777845,72.2055522915
1651251600000,2022-04-29 17:00:00,CTX/USD,5.2761,5.2788,5.243,5.243,105.020312,550.6214958160001
1651248000000,2022-04-29 16:00:00,CTX/USD,5.241,5.2762,5.2406,5.2761,60.027734,316.7123273574
1651244400000,2022-04-29 15:00:00,CTX/USD,5.2932,5.2932,5.2405,5.241,98.862044,518.1359726039999
1651240800000,2022-04-29 14:00:00,CTX/USD,5.2618,5.3001,5.2618,5.2932,28.855068,152.7356459376
1651237200000,2022-04-29 13:00:00,CTX/USD,5.3411,5.3698,5.2618,5.2618,0.97341,5.121888738
1651233600000,2022-04-29 12:00:00,CTX/USD,5.2243,5.3561,5.2053,5.3411,3585.790035,19152.0631559385
1651230000000,2022-04-29 11:00:00,CTX/USD,5.2243,5.2243,5.2053,5.2243,0.821982,4.2942805626
1651226400000,2022-04-29 10:00:00,CTX/USD,5.2117,5.2243,5.2053,5.2243,0.330087,1.7244735141000005
1651222800000,2022-04-29 09:00:00,CTX/USD,5.2517,5.2517,5.2117,5.2117,110.096325,573.7890170025
1651219200000,2022-04-29 08:00:00,CTX/USD,5.2504,5.2517,5.2242,5.2517,0.334928,1.7589413775999998
1651215600000,2022-04-29 07:00:00,CTX/USD,5.2242,5.2504,5.2242,5.2504,0.18633,0.978307032
1651212000000,2022-04-29 06:00:00,CTX/USD,5.2352,5.2352,5.2242,5.2242,0.042881,0.2240189202
1651208400000,2022-04-29 05:00:00,CTX/USD,5.2242,5.2352,5.2242,5.2352,0.196704,1.0297847808
1651204800000,2022-04-29 04:00:00,CTX/USD,5.211,5.2342,5.2041,5.2242,3.588195,18.745448319
1651201200000,2022-04-29 03:00:00,CTX/USD,5.2084,5.2428,5.2084,5.211,29.107104,151.677118944
1651197600000,2022-04-29 02:00:00,CTX/USD,5.2545,5.2545,5.2084,5.2084,0.304297,1.5849004948
1651194000000,2022-04-29 01:00:00,CTX/USD,5.2929,5.2929,5.2498,5.2545,147.114095,773.0110121775
1651190400000,2022-04-29 00:00:00,CTX/USD,5.3042,5.3042,5.265,5.2929,1.270104,6.7225334616
1651186800000,2022-04-28 23:00:00,CTX/USD,5.2811,5.3049,5.2638,5.3042,265.409375,1407.784406875
1651183200000,2022-04-28 22:00:00,CTX/USD,5.2757,5.2943,5.2757,5.2811,31.707643,167.4512334473
1651179600000,2022-04-28 21:00:00,CTX/USD,5.2835,5.2937,5.2756,5.2757,184.115835,971.3399107095
1651176000000,2022-04-28 20:00:00,CTX/USD,5.205,5.2835,5.205,5.2835,1.039917,5.4944014695
1651172400000,2022-04-28 19:00:00,CTX/USD,5.2662,5.2662,5.1992,5.205,1144.300937,5956.086377085
1651168800000,2022-04-28 18:00:00,CTX/USD,5.1076,5.2662,5.1076,5.2662,152.525411,803.2293194082
1651165200000,2022-04-28 17:00:00,CTX/USD,5.4032,5.4032,5.0823,5.1076,3239.187621,16544.474693019598
1651161600000,2022-04-28 16:00:00,CTX/USD,5.4526,5.4526,5.3077,5.4032,0.615176,3.3239189632
1651158000000,2022-04-28 15:00:00,CTX/USD,5.4542,5.4558,5.3741,5.4526,924.181313,5039.191027263801
1651154400000,2022-04-28 14:00:00,CTX/USD,5.4308,5.4649,5.419,5.4542,160.063631,873.0190562002
1651150800000,2022-04-28 13:00:00,CTX/USD,5.4281,5.4588,5.4281,5.4308,3.111153,16.896049712399996
1651147200000,2022-04-28 12:00:00,CTX/USD,5.43,5.4435,5.4281,5.4281,0.133854,0.7265728974
1651143600000,2022-04-28 11:00:00,CTX/USD,5.426,5.4342,5.426,5.43,79.830527,433.47976161
1651140000000,2022-04-28 10:00:00,CTX/USD,5.4588,5.4588,5.426,5.426,0.182664,0.991134864
1651136400000,2022-04-28 09:00:00,CTX/USD,5.4481,5.4588,5.4302,5.4588,45.225271,246.8757093348
1651132800000,2022-04-28 08:00:00,CTX/USD,5.4547,5.4562,5.4278,5.4481,0.21778,1.186487218
1651129200000,2022-04-28 07:00:00,CTX/USD,5.4591,5.4627,5.4492,5.4547,0.201494,1.0990893218
1651125600000,2022-04-28 06:00:00,CTX/USD,5.4307,5.4591,5.4307,5.4591,0.199501,1.0890959091
1651122000000,2022-04-28 05:00:00,CTX/USD,5.4287,5.4533,5.4287,5.4307,0.139465,0.7573925755
1651118400000,2022-04-28 04:00:00,CTX/USD,5.4586,5.4586,5.4287,5.4287,0.06154,0.334082198
1651114800000,2022-04-28 03:00:00,CTX/USD,5.4261,5.4586,5.4239,5.4586,24.647923,134.54315248779997
1651111200000,2022-04-28 02:00:00,CTX/USD,5.447,5.447,5.4256,5.4261,0.513409,2.7858085749
1651107600000,2022-04-28 01:00:00,CTX/USD,5.43,5.447,5.3709,5.447,61.943359,337.405476473
1651104000000,2022-04-28 00:00:00,CTX/USD,5.5011,5.5011,5.3959,5.43,970.592757,5270.31867051
1651100400000,2022-04-27 23:00:00,CTX/USD,5.4894,5.5372,5.4636,5.5011,230.21642,1266.443548062
1651096800000,2022-04-27 22:00:00,CTX/USD,5.4542,5.4894,5.4542,5.4894,10.601686,58.1968951284
1651093200000,2022-04-27 21:00:00,CTX/USD,5.4843,5.4843,5.4542,5.4542,17.786986,97.0137790412
1651089600000,2022-04-27 20:00:00,CTX/USD,5.4387,5.4889,5.4387,5.4843,268.420502,1472.0985591186
1651086000000,2022-04-27 19:00:00,CTX/USD,5.4323,5.4713,5.4323,5.4387,18.128851,98.5973819337
1651082400000,2022-04-27 18:00:00,CTX/USD,5.4115,5.4722,5.4115,5.4323,152.811312,830.1168901775999
1651078800000,2022-04-27 17:00:00,CTX/USD,5.3922,5.4517,5.3922,5.4115,330.331467,1787.5887336705
1651075200000,2022-04-27 16:00:00,CTX/USD,5.4361,5.4475,5.3922,5.3922,507.178717,2734.8090778074
1651071600000,2022-04-27 15:00:00,CTX/USD,5.3945,5.4669,5.3813,5.4361,476.838332,2592.1408565852
1651068000000,2022-04-27 14:00:00,CTX/USD,5.3986,5.3986,5.356,5.3945,25.768184,139.00646858800002
1651064400000,2022-04-27 13:00:00,CTX/USD,5.4108,5.4108,5.3816,5.3986,9.041533,48.8116200538
1651060800000,2022-04-27 12:00:00,CTX/USD,5.4155,5.4415,5.3734,5.4108,11.17272,60.453353376
1651057200000,2022-04-27 11:00:00,CTX/USD,5.4074,5.436,5.399,5.4155,0.156191,0.8458523604999999
1651053600000,2022-04-27 10:00:00,CTX/USD,5.4329,5.4349,5.4074,5.4074,10.770347,58.2395743678
1651050000000,2022-04-27 09:00:00,CTX/USD,5.4103,5.4329,5.4074,5.4329,8.86209,48.146848761
1651046400000,2022-04-27 08:00:00,CTX/USD,5.403,5.4272,5.403,5.4103,0.327706,1.7729877718
1651042800000,2022-04-27 07:00:00,CTX/USD,5.3894,5.403,5.3474,5.403,5.746211,31.046778032999995
1651039200000,2022-04-27 06:00:00,CTX/USD,5.3822,5.3934,5.3822,5.3894,0.175195,0.944195933
1651035600000,2022-04-27 05:00:00,CTX/USD,5.3596,5.3924,5.3596,5.3822,0.386944,2.0826099968
1651032000000,2022-04-27 04:00:00,CTX/USD,5.3463,5.3678,5.3463,5.3596,0.400855,2.148422458
1651028400000,2022-04-27 03:00:00,CTX/USD,5.3352,5.357,5.3203,5.3463,102.485072,547.9159404336
1651024800000,2022-04-27 02:00:00,CTX/USD,5.4197,5.4197,5.325,5.3352,133.603799,712.8029884248001
1651021200000,2022-04-27 01:00:00,CTX/USD,5.4386,5.4403,5.3947,5.4197,60.304627,326.8329869519
1651017600000,2022-04-27 00:00:00,CTX/USD,5.5161,5.5245,5.4144,5.4386,182.611978,993.1535035508
1651014000000,2022-04-26 23:00:00,CTX/USD,5.5276,5.5276,5.4894,5.5161,80.34933,443.214939213
1651010400000,2022-04-26 22:00:00,CTX/USD,5.5287,5.5552,5.4861,5.5276,889.49382,4916.766039432
1651006800000,2022-04-26 21:00:00,CTX/USD,5.5887,5.5887,5.5287,5.5287,412.241529,2279.1597413823
1651003200000,2022-04-26 20:00:00,CTX/USD,5.6098,5.6112,5.5623,5.5887,1.298512,7.256994014400001
1650999600000,2022-04-26 19:00:00,CTX/USD,5.6249,5.6562,5.6098,5.6098,0.683472,3.8341412256
1650996000000,2022-04-26 18:00:00,CTX/USD,5.6608,5.6608,5.6249,5.6249,0.682316,3.837959268400001
1650992400000,2022-04-26 17:00:00,CTX/USD,5.6491,5.6623,5.6236,5.6608,0.999495,5.657941296000001
1650988800000,2022-04-26 16:00:00,CTX/USD,5.7276,5.7276,5.6385,5.6491,2.27442,12.848426022
1650985200000,2022-04-26 15:00:00,CTX/USD,5.7511,5.7511,5.6916,5.7276,68.733552,393.6782924352
1650981600000,2022-04-26 14:00:00,CTX/USD,5.7488,5.7805,5.7488,5.7511,68.908738,396.3010431118
1650978000000,2022-04-26 13:00:00,CTX/USD,5.7694,5.7694,5.7419,5.7488,0.814597,4.6829552336
1650974400000,2022-04-26 12:00:00,CTX/USD,5.7368,5.7745,5.7368,5.7694,0.990737,5.7159580478
1650970800000,2022-04-26 11:00:00,CTX/USD,5.7322,5.771,5.7322,5.7368,118.758295,681.292586756
1650967200000,2022-04-26 10:00:00,CTX/USD,5.7507,5.7507,5.7322,5.7322,128.135042,734.4956877523999
1650963600000,2022-04-26 09:00:00,CTX/USD,5.7682,5.7682,5.741,5.7507,3.917831,22.5302707317
1650960000000,2022-04-26 08:00:00,CTX/USD,5.7571,5.7682,5.7566,5.7682,0.093079,0.5368982878
1650956400000,2022-04-26 07:00:00,CTX/USD,5.742,5.7594,5.731,5.7571,124.446381,716.4502600551001
1650952800000,2022-04-26 06:00:00,CTX/USD,5.7566,5.7566,5.7244,5.742,62.22939,357.32115738
1650949200000,2022-04-26 05:00:00,CTX/USD,5.7537,5.7599,5.7537,5.7566,0.170795,0.983198497
1650945600000,2022-04-26 04:00:00,CTX/USD,5.739,5.7626,5.739,5.7537,0.067983,0.3911537871
1650942000000,2022-04-26 03:00:00,CTX/USD,5.7326,5.739,5.7299,5.739,122.508695,703.077400605
1650938400000,2022-04-26 02:00:00,CTX/USD,5.7185,5.7326,5.6952,5.7326,64.237829,368.2497785254
1650934800000,2022-04-26 01:00:00,CTX/USD,5.6546,5.7185,5.6546,5.7185,406.487087,2324.4964070095
1650931200000,2022-04-26 00:00:00,CTX/USD,5.6459,5.6546,5.6272,5.6546,95.552261,540.3098150506
1650927600000,2022-04-25 23:00:00,CTX/USD,5.6632,5.6632,5.6435,5.6459,63.157536,356.5811325024
1650924000000,2022-04-25 22:00:00,CTX/USD,5.6641,5.6657,5.63,5.6632,17.286155,97.894952996
1650920400000,2022-04-25 21:00:00,CTX/USD,5.6549,5.6642,5.6283,5.6641,24.648394,139.6109684554
1650916800000,2022-04-25 20:00:00,CTX/USD,5.6555,5.6619,5.624,5.6549,120.929206,683.8425670093999
1650913200000,2022-04-25 19:00:00,CTX/USD,5.6131,5.6597,5.6131,5.6555,3.458471,19.5593827405
1650909600000,2022-04-25 18:00:00,CTX/USD,5.6259,5.6379,5.6068,5.6131,18.782109,105.4258560279
1650906000000,2022-04-25 17:00:00,CTX/USD,5.5839,5.6299,5.58,5.6259,374.98212,2109.611908908
1650902400000,2022-04-25 16:00:00,CTX/USD,5.5811,5.5897,5.5557,5.5839,34.69541,193.735699899
1650898800000,2022-04-25 15:00:00,CTX/USD,5.5599,5.5936,5.5485,5.5811,525.945006,2935.3516729866
1650895200000,2022-04-25 14:00:00,CTX/USD,5.5425,5.5691,5.5347,5.5599,111.737494,621.2492928905999
1650891600000,2022-04-25 13:00:00,CTX/USD,5.5486,5.5596,5.5152,5.5425,358.214509,1985.4039161325
1650888000000,2022-04-25 12:00:00,CTX/USD,5.5786,5.5883,5.4868,5.5486,2.075171,11.514293810600002
1650884400000,2022-04-25 11:00:00,CTX/USD,5.5901,5.5901,5.5427,5.5786,297.558226,1659.9583195635998
1650880800000,2022-04-25 10:00:00,CTX/USD,5.5732,5.6115,5.572,5.5901,8.931893,49.9301750593
1650877200000,2022-04-25 09:00:00,CTX/USD,5.5756,5.5931,5.5708,5.5732,0.336981,1.8780625092
1650873600000,2022-04-25 08:00:00,CTX/USD,5.6259,5.6301,5.5655,5.5756,2.317263,12.9201315828
1650870000000,2022-04-25 07:00:00,CTX/USD,5.7255,5.7255,5.6259,5.6259,4.358298,24.5193487182
1650866400000,2022-04-25 06:00:00,CTX/USD,5.8399,5.8399,5.6806,5.7255,5193.55981,29735.726692155
1650862800000,2022-04-25 05:00:00,CTX/USD,5.8006,5.8448,5.8006,5.8399,0.210657,1.2302158143000002
1650859200000,2022-04-25 04:00:00,CTX/USD,5.8546,5.8701,5.7312,5.8006,90.522904,525.0871569424
1650855600000,2022-04-25 03:00:00,CTX/USD,5.8532,5.8679,5.8456,5.8546,8.831144,51.7028156624
1650852000000,2022-04-25 02:00:00,CTX/USD,5.846,5.8815,5.8324,5.8532,353.337961,2068.1577533252
1650848400000,2022-04-25 01:00:00,CTX/USD,5.853,5.88,5.843,5.846,18.713572,109.399541912
1650844800000,2022-04-25 00:00:00,CTX/USD,5.8577,5.8577,5.844,5.853,0.676355,3.958705815
1650841200000,2022-04-24 23:00:00,CTX/USD,5.8153,5.8825,5.8153,5.8577,1.457049,8.5349559273
1650837600000,2022-04-24 22:00:00,CTX/USD,5.8221,5.8499,5.8122,5.8153,0.123484,0.7180965051999999
1650834000000,2022-04-24 21:00:00,CTX/USD,5.7668,5.8221,5.7668,5.8221,0.22963,1.336928823
1650830400000,2022-04-24 20:00:00,CTX/USD,5.7901,5.7901,5.752,5.7668,10.128903,58.41135782039999
1650826800000,2022-04-24 19:00:00,CTX/USD,5.7884,5.7901,5.75,5.7901,0.977745,5.6612413245
1650823200000,2022-04-24 18:00:00,CTX/USD,5.7931,5.7979,5.7529,5.7884,618.703228,3581.3017649552
1650819600000,2022-04-24 17:00:00,CTX/USD,5.7931,5.8196,5.7838,5.7931,66.059698,382.6904364838
1650816000000,2022-04-24 16:00:00,CTX/USD,5.8137,5.8196,5.7931,5.7931,16.583658,96.0707891598
1650812400000,2022-04-24 15:00:00,CTX/USD,5.8102,5.8137,5.7931,5.8137,0.108799,0.6325247463
1650808800000,2022-04-24 14:00:00,CTX/USD,5.8072,5.8114,5.7931,5.8102,8.397776,48.7927581152
1650805200000,2022-04-24 13:00:00,CTX/USD,5.8089,5.8089,5.7931,5.8072,0.143933,0.8358477176
1650801600000,2022-04-24 12:00:00,CTX/USD,5.8036,5.8089,5.7931,5.8089,0.164773,0.9571498797
1650798000000,2022-04-24 11:00:00,CTX/USD,5.8089,5.8089,5.7931,5.8036,0.17506,1.015978216
1650794400000,2022-04-24 10:00:00,CTX/USD,5.8086,5.8162,5.7931,5.8089,0.047749,0.2773691661
1650790800000,2022-04-24 09:00:00,CTX/USD,5.8198,5.8198,5.7931,5.8086,104.243552,605.5090961472
1650787200000,2022-04-24 08:00:00,CTX/USD,5.8237,5.8237,5.8181,5.8198,0.032802,0.1909010796
1650783600000,2022-04-24 07:00:00,CTX/USD,5.8267,5.8267,5.82,5.8237,0.093945,0.5471074965
1650780000000,2022-04-24 06:00:00,CTX/USD,5.8246,5.8267,5.8201,5.8267,51.357082,299.2423096894
1650776400000,2022-04-24 05:00:00,CTX/USD,5.8275,5.8275,5.8181,5.8246,2.151903,12.5339742138
1650772800000,2022-04-24 04:00:00,CTX/USD,5.8298,5.8298,5.8015,5.8275,5.376188,31.32973557
1650769200000,2022-04-24 03:00:00,CTX/USD,5.8123,5.8314,5.8047,5.8298,24.998348,145.7353691704
1650765600000,2022-04-24 02:00:00,CTX/USD,5.8098,5.8651,5.7931,5.8123,872.115014,5068.994095872199
1650762000000,2022-04-24 01:00:00,CTX/USD,5.8119,5.8435,5.8098,5.8098,0.090152,0.5237650896
1650758400000,2022-04-24 00:00:00,CTX/USD,5.8407,5.8524,5.8118,5.8119,56.15894,326.390143386
