unix,date,symbol,open,high,low,close,Volume BCH,Volume USD,just_date
1651377960,2022-05-01 04:06:00,BCH/USD,279.36,279.36,279.36,279.36,0.0,0.0,2022-05-01
1651377900,2022-05-01 04:05:00,BCH/USD,279.36,279.36,279.36,279.36,0.0,0.0,2022-05-01
1651377840,2022-05-01 04:04:00,BCH/USD,279.36,279.36,279.36,279.36,0.0,0.0,2022-05-01
1651377780,2022-05-01 04:03:00,BCH/USD,279.36,279.36,279.36,279.36,0.0,0.0,2022-05-01
1651377720,2022-05-01 04:02:00,BCH/USD,279.36,279.36,279.36,279.36,0.0,0.0,2022-05-01
1651377660,2022-05-01 04:01:00,BCH/USD,279.36,279.36,279.36,279.36,0.0,0.0,2022-05-01
1651377600,2022-05-01 04:00:00,BCH/USD,279.36,279.36,279.36,279.36,0.0,0.0,2022-05-01
1651377540,2022-05-01 03:59:00,BCH/USD,279.36,279.36,279.36,279.36,0.0,0.0,2022-05-01
1651377480,2022-05-01 03:58:00,BCH/USD,279.36,279.36,279.36,279.36,0.0,0.0,2022-05-01
1651377420,2022-05-01 03:57:00,BCH/USD,279.36,279.36,279.36,279.36,0.0,0.0,2022-05-01
1651377360,2022-05-01 03:56:00,BCH/USD,279.36,279.36,279.36,279.36,0.0,0.0,2022-05-01
1651377300,2022-05-01 03:55:00,BCH/USD,279.45,279.45,279.34,279.36,2.81781125,787.1837508000001,2022-05-01
1651377240,2022-05-01 03:54:00,BCH/USD,279.09,279.09,279.09,279.09,0.0,0.0,2022-05-01
1651377180,2022-05-01 03:53:00,BCH/USD,279.09,279.09,279.09,279.09,0.0,0.0,2022-05-01
1651377120,2022-05-01 03:52:00,BCH/USD,279.09,279.09,279.09,279.09,0.0,0.0,2022-05-01
1651377060,2022-05-01 03:51:00,BCH/USD,279.09,279.09,279.09,279.09,0.0,0.0,2022-05-01
1651377000,2022-05-01 03:50:00,BCH/USD,279.09,279.09,279.09,279.09,0.0,0.0,2022-05-01
1651376940,2022-05-01 03:49:00,BCH/USD,279.16,279.16,279.09,279.09,0.371,103.54238999999998,2022-05-01
1651376880,2022-05-01 03:48:00,BCH/USD,278.42,278.42,278.42,278.42,0.0,0.0,2022-05-01
1651376820,2022-05-01 03:47:00,BCH/USD,278.42,278.42,278.42,278.42,0.0,0.0,2022-05-01
1651376760,2022-05-01 03:46:00,BCH/USD,278.42,278.42,278.42,278.42,0.0,0.0,2022-05-01
1651376700,2022-05-01 03:45:00,BCH/USD,278.42,278.42,278.42,278.42,0.0,0.0,2022-05-01
1651376640,2022-05-01 03:44:00,BCH/USD,278.42,278.42,278.42,278.42,0.0,0.0,2022-05-01
1651376580,2022-05-01 03:43:00,BCH/USD,278.42,278.42,278.42,278.42,0.0,0.0,2022-05-01
1651376520,2022-05-01 03:42:00,BCH/USD,278.42,278.42,278.42,278.42,0.0,0.0,2022-05-01
1651376460,2022-05-01 03:41:00,BCH/USD,278.42,278.42,278.42,278.42,0.0,0.0,2022-05-01
1651376400,2022-05-01 03:40:00,BCH/USD,278.58,278.58,278.42,278.42,1.317,366.67914,2022-05-01
1651376340,2022-05-01 03:39:00,BCH/USD,278.92,278.92,278.92,278.92,0.0,0.0,2022-05-01
1651376280,2022-05-01 03:38:00,BCH/USD,278.92,278.92,278.92,278.92,1.0,278.92,2022-05-01
1651376220,2022-05-01 03:37:00,BCH/USD,278.58,278.58,278.58,278.58,0.0,0.0,2022-05-01
1651376160,2022-05-01 03:36:00,BCH/USD,278.58,278.58,278.58,278.58,0.16,44.5728,2022-05-01
1651376100,2022-05-01 03:35:00,BCH/USD,278.89,278.89,278.89,278.89,0.0,0.0,2022-05-01
